ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
75	"ENSG00000184313.19_2"	"MROH7"	chr1	+	55148328	55148467	55151930	55152121	55145563	55145718	55158096	55158234	75	27,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,47,0,0	288	300	1	1.0	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1.0
78	"ENSG00000142687.17_2"	"KIAA0319L"	chr1	-	35936463	35936561	35940405	35940507	35932208	35932296	35944566	35944813	78	0,174,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,67	0,0,0,0,35,0,150,0,6,0	251	247	1	1.0	NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,0.0,NA,0.0,NA,0.0,1.0	0.25
80	"ENSG00000108848.15_2"	"LUC7L3"	chr17	+	48814647	48814840	48815501	48815560	48814320	48814387	48817666	48817706	80	0,0,0,1,0,0,0,0,0,0,0,1,0	73,0,0,0,16,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,97,0	0,0,0,0,0,0,0,0,0,0	300	208	1	1.0	0.0,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-0.5
81	"ENSG00000143549.19_1"	"TPM3"	chr1	-	154143888	154143964	154144504	154144580	154143124	154143187	154145383	154145454	81	0,1,0,0,0,1,0,0,9,0,241,0,0	0,125,0,0,0,0,0,1,6,1,0,0,0	0,0,0,0,0,115,0,0,0,0	0,0,0,0,0,104,0,0,44,85	225	225	1	1.0	NA,0.008,NA,NA,NA,1.0,NA,0.0,0.6,0.0,1.0,NA,NA	NA,NA,NA,NA,NA,0.525,NA,NA,0.0,0.0	0.26
85	"ENSG00000163618.17_2"	"CADPS"	chr3	-	62479319	62479340	62483820	62483829	62477964	62478121	62484836	62484943	85	0,0,0,59,0,0,0,0,0,0,0,0,0	0,0,0,184,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,74,0,0,1	0,0,0,0,0,0,0,0,0,0	158	170	1	1.0	NA,NA,NA,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0	-0.743
86	"ENSG00000163618.17_2"	"CADPS"	chr3	-	62498425	62498443	62499312	62499381	62484836	62484943	62501733	62501857	86	0,0,0,0,0,0,0,0,41,0,0,0,0	0,111,0,184,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,36,0,0,0,0	218	167	1	1.0	NA,0.0,NA,0.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA	-0.167
90	"ENSG00000183117.18_2"	"CSMD1"	chr8	-	4277474	4277587	4494863	4495080	3889426	3889621	4851853	4852223	90	0,45,0,11,0,15,0,318,0,0,371,0,0	0,0,0,12,0,0,0,0,22,0,0,50,0	1,0,0,0,0,0,0,75,0,0	1,0,0,0,0,0,0,3,0,0	300	262	1	1.0	NA,1.0,NA,0.445,NA,1.0,NA,1.0,0.0,NA,1.0,0.0,NA	0.466,NA,NA,NA,NA,NA,NA,0.956,NA,NA	-0.076
93	"ENSG00000155749.12_1"	"ALS2CR12"	chr2	-	202195458	202195556	202207092	202207154	202195192	202195245	202208892	202208986	93	0,0,0,0,12,0,0,0,0,0,0,0,0	0,0,0,0,0,30,0,0,0,0,0,0,0	0,0,0,0,0,0,3,0,0,0	0,0,0,0,0,0,0,0,0,0	211	247	1	1.0	NA,NA,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	-0.5
97	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130874474	130874580	130883620	130883742	130867856	130867993	130915557	130915596	97	0,0,0,0,0,0,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,24,0,0,0,0	0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0	271	255	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-1.0
113	"ENSG00000041357.15_1"	"PSMA4"	chr15	+	78834518	78834561	78834824	78834987	78834246	78834272	78836531	78836609	113	0,57,0,0,0,0,0,0,0,0,0,0,0	0,72,0,0,0,0,0,12,13,0,2,0,0	0,0,0,0,0,0,0,0,0,11	326,0,0,0,0,36,51,0,0,0	192	300	1	1.0	NA,0.553,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA	0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,1.0	-0.112
114	"ENSG00000041357.15_1"	"PSMA4"	chr15	+	78834824	78834987	78836531	78836609	78834518	78834561	78837210	78837299	114	0,4,422,0,0,0,0,207,0,0,0,0,0	0,14,64,0,0,0,0,1,0,0,0,0,0	154,0,0,0,0,0,0,0,0,0	0,0,0,0,0,38,1,0,0,0	300	227	1	1.0	NA,0.178,0.833,NA,NA,NA,NA,0.994,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,0.0,0.0,NA,NA,NA	0.335
126	"ENSG00000165495.15_2"	"PKNOX2"	chr11	+	125221179	125221288	125237741	125237881	125201714	125201821	125255446	125255618	126	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,137,0,0,0,1,441,0,0	531,0,0,0,0,0,0,0,0,0	378,1,0,0,0,0,1,0,1,0	258	289	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0,NA,NA	0.611,0.0,NA,NA,NA,NA,0.0,NA,0.0,NA	-0.153
128	"ENSG00000128989.10_1"	"ARPP19"	chr15	-	52856386	52856443	52861044	52861097	52849296	52849419	52861312	52861364	128	0,131,0,0,0,0,0,0,0,0,157,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	202	206	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	1.0
154	"ENSG00000118482.11_1"	"PHF3"	chr6	+	64389900	64390062	64394029	64395812	64356430	64356700	64401626	64401933	154	0,0,159,0,0,0,0,0,0,0,191,0,0	0,109,0,0,0,0,0,0,0,0,0,7,0	2,0,0,0,0,0,206,0,0,0	0,0,0,0,0,0,0,2,0,0	300	300	1	1.0	NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA	1.0,NA,NA,NA,NA,NA,1.0,0.0,NA,NA	-0.167
157	"ENSG00000141084.10_2"	"RANBP10"	chr16	-	67805936	67805989	67839330	67839442	67778190	67778358	67840204	67840463	157	0,0,0,0,0,0,0,654,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	261	202	1	1.0	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA	0.5
160	"ENSG00000102984.14_2"	"ZNF821"	chr16	-	71898805	71898951	71901795	71901940	71898040	71898145	71913809	71913926	160	0,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,12,0,0	0,0,0,0,0,0,0,133,0,0	294	295	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.083,NA,NA	0.917
161	"ENSG00000102984.14_2"	"ZNF821"	chr16	-	71898805	71898951	71901814	71901940	71898040	71898145	71913809	71913926	161	0,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,133,0,0	275	295	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1.0
164	"ENSG00000101901.11_2"	"ALG13"	chrX	+	110925359	110925463	110925463	110925522	110924397	110924652	110928192	110928331	164	27,0,0,0,0,0,0,0,0,0,0,0,0	0,6,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,10,0,0,0,0	253	208	1	1.0	1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.5
166	"ENSG00000141644.17_1"	"MBD1"	chr18	-	47800555	47800723	47801346	47801415	47799933	47800233	47801498	47801615	166	0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,23,0,0,239,0	0,0,0,0,0,0,0,0,65,0	218	300	1	1.0	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,0.835,NA	-0.917
168	"ENSG00000136643.11_1"	"RPS6KC1"	chr1	+	213244347	213244383	213251037	213251158	213224596	213224851	213277795	213277911	168	0,0,0,0,0,0,0,0,0,0,0,0,0	0,59,12,69,0,0,0,0,14,0,0,131,0	0,0,0,0,0,0,27,0,0,0	0,0,0,0,0,0,0,0,0,1	185	270	1	1.0	NA,0.0,0.0,0.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.0	-0.5
169	"ENSG00000136643.11_1"	"RPS6KC1"	chr1	+	213290658	213290752	213302869	213303232	213277795	213277911	213341200	213341316	169	0,95,12,0,0,0,0,0,0,0,0,131,0	0,0,0,0,0,13,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,13,0,0,0,0	243	300	1	1.0	NA,1.0,1.0,NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.75
170	"ENSG00000177380.13_2"	"PPFIA3"	chr19	+	49641461	49641684	49642924	49643088	49639980	49640168	49643217	49643345	170	2,0,0,0,0,0,0,124,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0	1,0,0,0,0,0,0,0,0,0	300	300	1	1.0	1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0	0.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	0.5
180	"ENSG00000157823.16_2"	"AP3S2"	chr15	-	90420537	90420656	90421496	90421532	90414706	90414778	90431752	90431864	180	0,56,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,78,0,0,0,0	185	268	1	1.0	NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.5
184	"ENSG00000143401.14_2"	"ANP32E"	chr1	-	150201404	150201570	150202905	150203028	150198939	150199127	150204114	150204264	184	78,0,0,0,0,0,0,0,0,0,0,0,0	0,58,176,0,8,0,0,0,0,0,231,2,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,19,0,0,0,0	272	300	1	1.0	1.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.167
189	"ENSG00000062716.11_2"	"VMP1"	chr17	+	57812698	57812834	57814813	57814904	57808781	57808883	57816197	57816308	189	14,0,0,0,0,0,0,73,0,50,0,29,0	0,36,0,0,0,0,0,0,0,0,0,21,0	244,0,0,0,0,35,39,0,0,0	345,0,0,0,0,0,0,0,0,0	285	240	1	1.0	1.0,0.0,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,0.538,NA	0.373,NA,NA,NA,NA,1.0,1.0,NA,NA,NA	-0.083
190	"ENSG00000107669.17_2"	"ATE1"	chr10	-	123658355	123658484	123659380	123659509	123629520	123629553	123661905	123662135	190	0,0,0,0,0,0,0,0,0,0,0,0,0	0,61,0,0,0,0,0,0,5,0,200,141,0	0,0,0,0,0,13,0,0,0,0	0,662,0,0,0,53,1,0,248,0	278	278	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,NA	NA,0.0,NA,NA,NA,0.197,0.0,NA,0.0,NA	-0.049
208	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179047892	179048036	179048242	179048398	179046269	179046408	179050037	179050165	208	0,39,0,0,1,9,0,0,0,0,0,0,0	0,165,0,0,0,7,0,0,0,0,0,0,0	1,0,0,0,0,12,67,0,0,0	0,0,0,0,0,64,206,0,0,0	300	293	1	1.0	NA,0.188,NA,NA,1.0,0.557,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,0.155,0.241,NA,NA,NA	0.116
210	"ENSG00000092108.20_2"	"SCFD1"	chr14	+	31103152	31103243	31108982	31109070	31099682	31099771	31112521	31112611	210	0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0,15,0,0	0,189,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	240	237	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	-1.0
217	"ENSG00000074416.13_2"	"MGLL"	chr3	-	127413817	127414033	127429418	127429508	127410959	127411166	127439895	127440006	217	4,0,0,0,0,0,0,0,0,0,52,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,6,0,0,0,204	0,0,0,0,0,42,235,0,5,0	239	300	1	1.0	1.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,0.152,0.0,NA,0.0,1.0	0.379
225	"ENSG00000102878.16_2"	"HSF4"	chr16	+	67201377	67201502	67201726	67201850	67201022	67201125	67202733	67202839	225	0,87,0,0,1,0,0,0,2,0,0,0,558	0,62,0,0,0,36,0,0,35,0,0,0,0	0,0,0,0,0,0,0,4,0,0	0,0,0,0,0,0,0,0,0,24	274	273	1	1.0	NA,0.583,NA,NA,1.0,0.0,NA,NA,0.054,NA,NA,NA,1.0	NA,NA,NA,NA,NA,NA,NA,1.0,NA,0.0	0.027
229	"ENSG00000103351.12_2"	"CLUAP1"	chr16	+	3556330	3556415	3558288	3558468	3554719	3554831	3562382	3562478	229	0,2,0,0,0,0,0,0,19,0,0,0,0	0,29,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,66,0,0,0	0,0,0,0,0,0,0,0,0,0	234	300	1	1.0	NA,0.081,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	-0.46
258	"ENSG00000099246.16_1"	"RAB18"	chr10	+	27815756	27815818	27822663	27822782	27798803	27798859	27822856	27822923	258	0,31,0,0,0,0,0,0,0,0,0,0,0	10,59,0,91,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,10,20,0,0,0	211	268	1	1.0	0.0,0.4,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA	0.133
260	"ENSG00000132970.12_2"	"WASF3"	chr13	+	27250685	27250861	27254171	27254338	27246008	27246126	27255190	27255457	260	0,112,0,0,0,0,0,0,29,0,1,0,0	0,1,0,0,0,0,0,0,25,0,0,0,0	318,0,0,0,0,0,0,176,31,0	0,0,0,0,0,2,151,0,241,0	300	300	1	1.0	NA,0.991,NA,NA,NA,NA,NA,NA,0.537,NA,1.0,NA,NA	1.0,NA,NA,NA,NA,0.0,0.0,1.0,0.114,NA	0.42
267	"ENSG00000065882.15_2"	"TBC1D1"	chr4	+	38053519	38053681	38054726	38054846	38051238	38051519	38055819	38055959	267	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,165,0,0	0,0,0,0,0,3,6,0,0,0	0,0,0,0,0,0,0,0,0,0	300	269	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA	-1.0
268	"ENSG00000115020.16_2"	"PIKFYVE"	chr2	+	209138744	209138777	209141435	209141554	209138307	209138457	209150449	209150657	268	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,20,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0	0,0,0,0,0,147,0,0,0,0	182	268	1	1.0	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA	-0.5
277	"ENSG00000213930.11_2"	"GALT"	chr9	+	34647488	34647564	34647828	34647958	34647085	34647255	34648111	34648168	277	0,22,0,0,0,0,0,4,7,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	225	279	1	1.0	NA,1.0,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1.0
280	"ENSG00000006695.10_1"	"COX10"	chr17	+	13980051	13980373	14005434	14005559	13977639	13977773	14063193	14063264	280	0,9,0,0,0,0,0,0,0,0,0,0,0	0,9,0,0,0,0,0,0,0,0,0,0,0	0,15,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	300	274	1	1.0	NA,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	-0.523
