ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
45	"ENSG00000160209.18_1"	"PDXK"	chr21	+	45175357	45175645	45175578	45175645	45173463	45173600	45	0,0,0,0,0,0,0,0,0,0,0,0,0	10,87,0,0,0,0,0,0,0,0,0,54,0	0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,52,12	300	150	1	1.0	0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.0	-0.005
56	"ENSG00000130475.14_1"	"FCHO1"	chr19	+	17881233	17881386	17881272	17881386	17877477	17877619	56	0,0,0,0,0,0,0,0,1,0,0,254,0	0,0,0,141,0,0,0,0,0,0,0,0,0	0,0,0,0,0,89,18,73,0,0	0,0,0,0,0,0,0,0,0,0	188	150	1	1.0	NA,NA,NA,0.0,NA,NA,NA,NA,1.0,NA,NA,1.0,NA	NA,NA,NA,NA,NA,1.0,1.0,1.0,NA,NA	-0.333
63	"ENSG00000130332.14_2"	"LSM7"	chr19	-	2324123	2324195	2324123	2324191	2328385	2328476	63	0,68,0,0,0,0,0,0,19,0,815,1,0	0,11,0,0,0,0,0,0,0,0,0,0,0	0,705,0,0,0,0,0,11,0,100	0,0,0,0,0,0,0,0,0,0	153	150	1	1.0	NA,0.858,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,1.0,NA	NA,1.0,NA,NA,NA,NA,NA,1.0,NA,1.0	-0.035
68	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110385060	110386651	110385060	110385309	110388971	110389121	68	0,0,0,0,0,0,0,0,0,0,0,0,8	47,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	300	150	1	1.0	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.5
84	"ENSG00000166676.14_1"	"TVP23A"	chr16	-	10860532	10863335	10860532	10862958	10864128	10864188	84	0,0,0,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,210,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,226,0	0,0,0,0,0,0,0,0,0,0	300	150	1	1.0	NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA	-0.993
92	"ENSG00000133794.17_2"	"ARNTL"	chr11	+	13398091	13398275	13398186	13398275	13397158	13397309	92	0,0,0,0,0,0,0,19,0,0,0,0,0	0,12,0,24,145,0,1,0,21,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,94,0	244	150	1	1.0	NA,0.0,NA,0.0,0.0,NA,0.0,1.0,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	0.167
99	"ENSG00000086848.14_2"	"ALG9"	chr11	-	111708971	111709122	111708971	111709101	111711377	111711532	99	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,5,0,0,324,0	0,0,0,0,0,0,0,0,0,39	0,0,0,0,0,0,0,0,0,0	170	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	-1.0
103	"ENSG00000172663.8_2"	"TMEM134"	chr11	-	67232526	67232738	67232526	67232571	67234782	67234859	103	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,412,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	300	150	1	1.0	NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	-1.0
116	"ENSG00000117569.18_1"	"PTBP2"	chr1	+	97278828	97279003	97278831	97279003	97278584	97278662	116	0,0,0,0,0,0,0,0,22,128,0,0,0	0,8,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,1,1,0,0,0	0,0,0,0,0,0,281,0,4,0	152	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,0.0,NA	NA,NA,NA,NA,NA,1.0,0.003,NA,0.0,NA	0.166
117	"ENSG00000130396.20_2"	"MLLT4"	chr6	+	168271062	168271178	168271065	168271178	168265230	168265426	117	4,16,0,0,0,0,0,0,0,0,0,0,0	0,24,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,2,0,0,169,0	0,0,0,0,0,0,12,0,0,0	152	150	1	1.0	1.0,0.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,0.0,NA,1.0,NA	0.032
118	"ENSG00000130396.20_2"	"MLLT4"	chr6	+	168272893	168273057	168272896	168273057	168271062	168271178	118	4,59,0,0,0,0,0,0,0,0,107,0,0	0,5,0,0,0,50,0,0,2,0,0,0,0	0,0,0,0,0,0,0,0,14,0	0,0,0,0,0,0,0,0,56,0	152	150	1	1.0	1.0,0.921,NA,NA,NA,0.0,NA,NA,0.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.198,NA	0.386
128	"ENSG00000100991.11_1"	"TRPC4AP"	chr20	-	33608992	33609159	33608992	33609135	33622925	33623111	128	0,0,0,0,74,0,0,0,0,0,25,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,4,0,0,0	0,0,0,0,0,57,0,0,0,0	173	150	1	1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.956,NA,NA	NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA	0.478
137	"ENSG00000156983.15_2"	"BRPF1"	chr3	+	9785261	9785585	9785264	9785585	9784627	9784937	137	0,0,0,0,0,0,0,0,0,0,0,0,0	0,39,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,3,0,0	0,0,0,0,0,0,0,0,78,0	152	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA	-0.5
138	"ENSG00000165525.17_1"	"NEMF"	chr14	-	50281471	50281575	50281471	50281525	50292584	50292673	138	7,185,0,2,0,3,0,1,2,0,0,3,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,101,0,0,0,0,27,0,0,0	0,0,0,0,0,0,0,0,0,7	199	150	1	1.0	1.0,1.0,NA,1.0,NA,1.0,NA,1.0,1.0,NA,NA,1.0,NA	NA,1.0,NA,NA,NA,NA,1.0,NA,NA,0.0	0.333
139	"ENSG00000165525.17_1"	"NEMF"	chr14	-	50295333	50295525	50295333	50295505	50295771	50295980	139	1,94,0,0,0,0,0,0,66,10,250,324,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,229,0,1,0,22,69,126,2,399	0,0,0,0,0,85,8,0,0,0	169	150	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA	NA,1.0,NA,1.0,NA,0.187,0.884,1.0,1.0,1.0	0.133
141	"ENSG00000255036.6_2"	"RP11-23J9.4"	chr9	+	100122263	100122383	100122267	100122383	100119908	100120007	141	0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,195,0	0,0,0,0,0,0,76,0,0,0	153	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA	0.5
167	"ENSG00000166471.10_2"	"TMEM41B"	chr11	-	9309988	9310089	9309988	9310082	9316805	9316934	167	0,1,0,0,0,0,0,0,0,0,0,0,0	0,176,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,9,0,0,331	156	150	1	1.0	NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0	0.003
174	"ENSG00000173120.14_1"	"KDM2A"	chr11	+	66985201	66985355	66985226	66985355	66983326	66983420	174	0,54,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,3,0,0,0	0,0,0,0,0,88,0,0,0,0	174	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA	0.5
176	"ENSG00000223959.8_1"	"AFG3L1P"	chr16	+	90061100	90063031	90061166	90063031	90060175	90060301	176	88,4,0,0,0,0,0,0,0,0,0,0,0	0,138,0,0,0,0,0,0,5,0,0,0,0	0,0,0,0,0,0,9,0,0,0	0,0,0,0,0,0,0,0,0,0	215	150	1	1.0	1.0,0.02,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	-0.66
177	"ENSG00000133958.13_2"	"UNC79"	chr14	+	93940434	93940739	93940593	93940739	93934016	93934137	177	137,150,0,0,0,0,0,0,0,1,871,2,0	0,0,0,0,0,82,0,0,0,0,45,0,0	1,0,0,1,0,0,120,0,0,0	0,0,0,0,0,0,2,0,186,0	300	150	1	1.0	1.0,1.0,NA,NA,NA,0.0,NA,NA,NA,1.0,0.906,1.0,NA	1.0,NA,NA,1.0,NA,NA,0.968,NA,0.0,NA	0.076
180	"ENSG00000116299.16_1"	"KIAA1324"	chr1	+	109745534	109745853	109745565	109745853	109743356	109743522	180	0,0,0,0,0,0,0,0,0,0,0,0,0	26,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,75,0,0	0,0,0,0,0,0,0,17,0,0	180	150	1	1.0	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.786,NA,NA	-0.786
186	"ENSG00000078177.13_2"	"N4BP2"	chr4	+	40144292	40144481	40144343	40144481	40138563	40138702	186	0,24,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,68,0,0,0	0,0,0,0,0,0,0,0,2,0	200	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,0.0,NA	0.5
199	"ENSG00000125991.18_2"	"ERGIC3"	chr20	+	34144647	34144880	34144743	34144880	34143977	34144042	199	0,0,0,0,0,0,0,0,0,0,0,0,0	0,62,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,148,0,22,67	0,0,0,0,0,0,167,17,0,68	245	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.352,0.0,1.0,0.376	-0.432
200	"ENSG00000125991.18_2"	"ERGIC3"	chr20	+	34144725	34144880	34144743	34144880	34143977	34144042	200	0,0,0,0,0,0,0,0,0,0,0,0,0	0,62,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,148,0,0,67	0,0,0,0,0,0,167,17,0,68	167	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.443,0.0,NA,0.469	-0.304
207	"ENSG00000105701.15_2"	"FKBP8"	chr19	-	18643473	18643624	18643473	18643605	18644079	18644157	207	0,0,0,0,0,0,0,0,0,0,0,0,0	1,64,0,179,0,46,0,0,0,0,446,0,0	0,0,0,0,0,0,0,15,0,0	0,314,0,0,0,9,4,0,14,0	168	150	1	1.0	0.0,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,0.0,NA,NA	NA,0.0,NA,NA,NA,0.0,0.0,1.0,0.0,NA	-0.2
208	"ENSG00000105701.15_2"	"FKBP8"	chr19	-	18649025	18649246	18649025	18649243	18650180	18650269	208	0,119,0,0,21,2,0,0,0,70,0,0,0	0,58,234,0,0,0,0,0,0,0,0,0,0	0,19,0,0,0,8,0,15,0,0	0,0,0,0,0,1,234,0,0,0	152	150	1	1.0	NA,0.669,0.0,NA,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA	NA,1.0,NA,NA,NA,0.888,0.0,1.0,NA,NA	0.012
217	"ENSG00000070087.13_2"	"PFN2"	chr3	-	149682690	149684373	149682690	149684051	149686144	149686337	217	5,163,384,0,0,278,2,83,22,0,547,372,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,92,0,2,7,240,125,161,10,0	0,0,0,0,0,33,0,0,0,0	300	150	1	1.0	1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA	NA,1.0,NA,1.0,1.0,0.784,1.0,1.0,1.0,NA	0.031
221	"ENSG00000021300.13_2"	"PLEKHB1"	chr11	+	73361576	73361750	73361597	73361750	73360056	73360132	221	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,100,0,37,365,87,0,0	0,0,0,0,0,4,0,0,0,0	0,291,0,0,0,149,134,0,120,3	170	150	1	1.0	1.0,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,NA,NA	NA,0.0,NA,NA,NA,0.023,0.0,NA,0.0,0.0	0.195
227	"ENSG00000078295.16_2"	"ADCY2"	chr5	+	7789754	7789913	7789771	7789913	7784477	7784562	227	0,93,0,0,0,74,0,0,0,0,0,0,0	0,0,0,0,0,180,0,0,0,0,7,0,0	0,2,0,0,0,52,14,0,0,0	0,0,0,0,0,0,0,0,0,1	166	150	1	1.0	NA,1.0,NA,NA,NA,0.271,NA,NA,NA,NA,0.0,NA,NA	NA,1.0,NA,NA,NA,1.0,1.0,NA,NA,0.0	-0.326
232	"ENSG00000145526.11_2"	"CDH18"	chr5	-	19483409	19483661	19483409	19483555	19503100	19503218	232	0,1,0,0,0,0,0,0,22,0,0,0,0	0,0,0,0,0,3,0,0,0,0,0,0,0	196,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0	255	150	1	1.0	NA,1.0,NA,NA,NA,0.0,NA,NA,1.0,NA,NA,NA,NA	1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA	-0.333
234	"ENSG00000182087.12_2"	"TMEM259"	chr19	-	1011578	1011662	1011578	1011611	1011739	1011797	234	29,159,0,0,0,282,0,147,0,0,421,1,0	0,37,0,0,0,317,0,0,1,0,0,14,0	2,1,0,0,0,52,4,35,0,0	0,0,0,0,0,0,25,0,4,0	200	150	1	1.0	1.0,0.763,NA,NA,NA,0.4,NA,1.0,0.0,NA,1.0,0.051,NA	1.0,1.0,NA,NA,NA,1.0,0.107,1.0,0.0,NA	-0.082
243	"ENSG00000124772.11_1"	"CPNE5"	chr6	-	36760172	36760223	36760172	36760220	36762366	36762426	243	0,0,0,0,0,0,0,1,0,0,0,0,0	0,39,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,228,0	152	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA	0.0
246	"ENSG00000262919.7_2"	"FAM58A"	chrX	-	152853389	152853912	152853389	152853852	152857963	152858191	246	0,1,1,0,0,0,0,0,1,1,1,2,1	0,0,0,0,0,0,0,0,0,0,326,0,0	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	209	150	1	1.0	NA,1.0,1.0,NA,NA,NA,NA,NA,1.0,1.0,0.002,1.0,1.0	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.143
249	"ENSG00000156042.17_2"	"CFAP70"	chr10	-	75082720	75082855	75082720	75082785	75090934	75091034	249	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,155,0,0,0,0,0	0,0,0,0,0,8,0,0,0,0	0,0,0,0,0,0,0,0,0,0	219	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	-1.0
266	"ENSG00000142303.13_1"	"ADAMTS10"	chr19	-	8662117	8662206	8662117	8662201	8665811	8666029	266	97,49,0,0,0,63,0,0,0,0,0,504,0	0,95,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,454,0	0,0,0,0,0,0,0,0,0,0	154	150	1	1.0	1.0,0.334,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-0.166
270	"ENSG00000135049.15_2"	"AGTPBP1"	chr9	-	88270057	88270235	88270057	88270115	88272349	88272558	270	33,85,0,0,0,1,0,0,0,113,301,0,0	0,85,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,67,55,0,0,0,0	0,0,0,0,0,0,0,0,0,0	269	150	1	1.0	1.0,0.358,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA	-0.128
280	"ENSG00000168488.18_2"	"ATXN2L"	chr16	+	28843507	28843720	28843525	28843720	28842282	28842393	280	0,0,0,0,0,0,0,0,25,0,0,0,0	7,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,27,0,0,0,0,121	167	150	1	1.0	0.0,0.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0	0.333
282	"ENSG00000168488.18_2"	"ATXN2L"	chr16	+	28846866	28847079	28846869	28847079	28846598	28846720	282	0,0,0,0,0,0,0,0,0,0,0,0,0	0,28,0,0,0,16,0,0,18,1,0,0,0	0,0,0,0,0,0,2,0,0,0	0,0,0,0,0,0,0,0,0,0	152	150	1	1.0	NA,0.0,NA,NA,NA,0.0,NA,NA,0.0,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	-1.0
289	"ENSG00000198000.11_2"	"NOL8"	chr9	-	95062171	95063092	95062171	95062298	95063832	95064104	289	0,0,0,0,0,182,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,18,0,0,0,0,0,34,0,0	300	150	1	1.0	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA	1.0
299	"ENSG00000095787.21_2"	"WAC"	chr10	+	28905101	28905291	28905104	28905291	28903495	28903614	299	118,1,0,0,0,0,0,0,1,1102,1029,0,0	0,0,0,16,0,87,0,16,0,0,0,0,0	0,0,0,2,0,0,0,0,12,0	0,0,0,0,0,0,0,0,0,43	152	150	1	1.0	1.0,1.0,NA,0.0,NA,0.0,NA,0.0,1.0,1.0,1.0,NA,NA	NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.0	-0.042
308	"ENSG00000174672.15_1"	"BRSK2"	chr11	+	1481729	1482944	1482199	1482944	1480421	1480469	308	37,0,0,10,0,0,0,0,0,0,0,1,0	0,0,0,0,0,112,1,0,16,0,0,0,0	0,0,0,0,1,0,94,0,0,0	0,0,0,0,0,0,0,0,1,0	300	150	1	1.0	1.0,NA,NA,1.0,NA,0.0,0.0,NA,0.0,NA,NA,1.0,NA	NA,NA,NA,NA,1.0,NA,1.0,NA,0.0,NA	-0.167
326	"ENSG00000184144.10_2"	"CNTN2"	chr1	+	205026335	205027193	205027048	205027193	205022227	205022383	326	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,84,13,0,0,0,0	0,0,0,0,0,0,41,0,0,17	0,0,0,0,0,93,0,0,0,187	300	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,1.0,NA,NA,0.043	-0.348
328	"ENSG00000122786.19_2"	"CALD1"	chr7	+	134642959	134643041	134642962	134643041	134642819	134642863	328	0,0,0,0,0,0,2,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,64,0,79,0,0	0,0,0,0,0,0,55,0,0,0	152	150	1	1.0	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,0.0,1.0,NA,NA	0.333
329	"ENSG00000107317.11_2"	"PTGDS"	chr9	+	139875262	139875307	139875284	139875307	139874634	139874736	329	0,0,0,0,0,0,0,0,0,0,0,1,0	287,166,50,302,386,303,3,424,107,0,356,888,1178	0,0,0,0,0,1,0,0,0,0	412,0,0,364,27,616,1668,0,207,824	171	150	1	1.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.001,0.0	0.0,NA,NA,0.0,0.0,0.001,0.0,NA,0.0,0.0	-0.0
331	"ENSG00000081189.14_2"	"MEF2C"	chr5	-	88014090	88018742	88014090	88018646	88024309	88024445	331	25,149,0,0,0,0,0,157,50,0,210,1,0	0,0,0,0,1,0,0,63,0,0,45,0,0	1,0,0,0,0,80,188,0,2,22	0,0,0,0,0,39,90,138,67,0	245	150	1	1.0	1.0,1.0,NA,NA,0.0,NA,NA,0.604,1.0,NA,0.741,1.0,NA	1.0,NA,NA,NA,NA,0.557,0.561,0.0,0.018,1.0	0.241
337	"ENSG00000164114.18_2"	"MAP9"	chr4	-	156281319	156281567	156281319	156281495	156283199	156283293	337	0,1,0,0,0,0,0,0,24,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,52,0,0,0	221	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,1.0,NA,NA,0.0,NA,NA,NA	0.5
338	"ENSG00000164114.18_2"	"MAP9"	chr4	-	156289737	156289964	156289737	156289961	156294287	156294608	338	0,0,0,0,0,0,0,0,0,107,0,0,0	0,0,0,0,0,0,0,0,0,0,19,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	152	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.5
