ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2045	"ENSG00000112531.16_1"	"QKI"	chr6	+	163984451	163991177	163984451	163984751	163985698	163991177
2046	"ENSG00000112531.16_1"	"QKI"	chr6	+	163984451	163991177	163984451	163984751	163986977	163991177
2206	"ENSG00000225177.5_1"	"RP11-390P2.4"	chr6	+	139017733	139018425	139017733	139017892	139018039	139018425
2374	"ENSG00000168397.16_2"	"ATG4B"	chr2	+	242590424	242590750	242590424	242590526	242590678	242590750
2409	"ENSG00000119397.16_1"	"CNTRL"	chr9	+	123930373	123930599	123930373	123930414	123930489	123930599
2437	"ENSG00000117115.12_1"	"PADI2"	chr1	-	17401350	17402318	17401350	17401444	17402173	17402318
2495	"ENSG00000130244.12_2"	"FAM98C"	chr19	+	38896158	38897717	38896158	38896275	38897549	38897717
2667	"ENSG00000165458.13_2"	"INPPL1"	chr11	+	71939770	71939891	71939770	71939830	71939832	71939891
2829	"ENSG00000100284.20_2"	"TOM1"	chr22	+	35719488	35719623	35719488	35719614	35719615	35719623
2896	"ENSG00000115275.11_2"	"MOGS"	chr2	-	74692022	74692537	74692022	74692114	74692440	74692537
3243	"ENSG00000089820.15_2"	"ARHGAP4"	chrX	-	153178671	153179054	153178671	153178756	153178862	153179054
3460	"ENSG00000169738.7_2"	"DCXR"	chr17	-	79994066	79994639	79994066	79994519	79994596	79994639
3569	"ENSG00000114054.13_2"	"PCCB"	chr3	+	136045644	136046097	136045644	136045752	136045996	136046097
3675	"ENSG00000127914.16_2"	"AKAP9"	chr7	+	91669987	91671095	91669987	91670170	91670172	91671095
4107	"ENSG00000026036.21_2"	"RTEL1-TNFRSF6B"	chr20	+	62321102	62321563	62321102	62321218	62321439	62321563
4249	"ENSG00000099917.17_2"	"MED15"	chr22	+	20909222	20909435	20909222	20909282	20909363	20909435
4514	"ENSG00000154743.17_1"	"TSEN2"	chr3	+	12571260	12573158	12571260	12571372	12573068	12573158
4539	"ENSG00000106692.13_1"	"FKTN"	chr9	+	108397331	108403399	108397331	108397429	108402381	108403399
4968	"ENSG00000144504.15_2"	"ANKMY1"	chr2	-	241463301	241463798	241463301	241463426	241463720	241463798
5132	"ENSG00000054356.13_2"	"PTPRN"	chr2	-	220159696	220161067	220159696	220159750	220160947	220161067
5133	"ENSG00000054356.13_2"	"PTPRN"	chr2	-	220159696	220161067	220159696	220159863	220160947	220161067
5188	"ENSG00000116478.11_1"	"HDAC1"	chr1	+	32797276	32797843	32797276	32797407	32797690	32797843
5292	"ENSG00000160781.15_1"	"PAQR6"	chr1	-	156215572	156216041	156215572	156215778	156215913	156216041
5312	"ENSG00000074266.18_2"	"EED"	chr11	+	85974986	85977258	85974986	85975305	85977124	85977258
5522	"ENSG00000064607.16_1"	"SUGP2"	chr19	-	19135427	19137035	19135427	19136265	19136663	19137035
5652	"ENSG00000106123.11_1"	"EPHB6"	chr7	+	142560513	142561085	142560513	142560591	142560884	142561085
5653	"ENSG00000106123.11_1"	"EPHB6"	chr7	+	142560513	142561085	142560513	142560591	142560888	142561085
