ID	GeneID	geneSymbol	chr	strand	IncLevel1	IncLevel2	PValue	event
161	ENSG00000102984.14_2	ZNF821	chr16	-	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1	MXE
164	ENSG00000101901.11_2	ALG13	chrX	+	1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
166	ENSG00000141644.17_1	MBD1	chr18	-	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,0.835,NA	1	MXE
168	ENSG00000136643.11_1	RPS6KC1	chr1	+	NA,0.0,0.0,0.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.0	1	MXE
169	ENSG00000136643.11_1	RPS6KC1	chr1	+	NA,1.0,1.0,NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
170	ENSG00000177380.13_2	PPFIA3	chr19	+	1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0	0.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
180	ENSG00000157823.16_2	AP3S2	chr15	-	NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
184	ENSG00000143401.14_2	ANP32E	chr1	-	1.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
189	ENSG00000062716.11_2	VMP1	chr17	+	1.0,0.0,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,0.538,NA	0.373,NA,NA,NA,NA,1.0,1.0,NA,NA,NA	1	MXE
190	ENSG00000107669.17_2	ATE1	chr10	-	NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,NA	NA,0.0,NA,NA,NA,0.197,0.0,NA,0.0,NA	1	MXE
208	ENSG00000169045.13	HNRNPH1	chr5	-	NA,0.188,NA,NA,1.0,0.557,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,0.155,0.241,NA,NA,NA	1	MXE
210	ENSG00000092108.20_2	SCFD1	chr14	+	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
217	ENSG00000074416.13_2	MGLL	chr3	-	1.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,0.152,0.0,NA,0.0,1.0	1	MXE
225	ENSG00000102878.16_2	HSF4	chr16	+	NA,0.583,NA,NA,1.0,0.0,NA,NA,0.054,NA,NA,NA,1.0	NA,NA,NA,NA,NA,NA,NA,1.0,NA,0.0	1	MXE
229	ENSG00000103351.12_2	CLUAP1	chr16	+	NA,0.081,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
258	ENSG00000099246.16_1	RAB18	chr10	+	0.0,0.4,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA	1	MXE
260	ENSG00000132970.12_2	WASF3	chr13	+	NA,0.991,NA,NA,NA,NA,NA,NA,0.537,NA,1.0,NA,NA	1.0,NA,NA,NA,NA,0.0,0.0,1.0,0.114,NA	1	MXE
267	ENSG00000065882.15_2	TBC1D1	chr4	+	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA	1	MXE
268	ENSG00000115020.16_2	PIKFYVE	chr2	+	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA	1	MXE
277	ENSG00000213930.11_2	GALT	chr9	+	NA,1.0,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
280	ENSG00000006695.10_1	COX10	chr17	+	NA,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
284	ENSG00000275131.2_2	CH17-472G23.4	chr1	-	0.0,0.442,NA,NA,0.0,0.0,NA,1.0,NA,NA,0.0,NA,NA	1.0,NA,NA,NA,1.0,0.0,NA,NA,NA,NA	1	MXE
293	ENSG00000157800.17_1	SLC37A3	chr7	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
312	ENSG00000023228.13_2	NDUFS1	chr2	-	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA	1	MXE
316	ENSG00000111906.17_1	HDDC2	chr6	-	NA,0.892,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,0.0,NA,NA	1	MXE
350	ENSG00000059588.9_1	TARBP1	chr1	-	1.0,0.011,0.0,0.468,NA,0.0,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.036,NA,NA,0.0,0.0	1	MXE
356	ENSG00000129197.14_1	RPAIN	chr17	+	NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA	1	MXE
357	ENSG00000129197.14_1	RPAIN	chr17	+	NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA	1	MXE
371	ENSG00000143416.20_2	SELENBP1	chr1	-	NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	1	MXE
375	ENSG00000077254.14_2	USP33	chr1	-	1.0,1.0,NA,NA,NA,0.0,NA,NA,1.0,NA,0.964,1.0,1.0	NA,NA,NA,NA,NA,1.0,0.473,0.665,0.521,0.0	1	MXE
377	ENSG00000108654.12_2	DDX5	chr17	-	1.0,0.586,0.988,NA,0.0,0.995,NA,0.17,0.475,NA,1.0,1.0,NA	1.0,0.569,NA,NA,0.0,0.988,0.631,0.468,0.016,0.0	1	MXE
378	ENSG00000076928.17_2	ARHGEF1	chr19	+	NA,0.453,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,1.0	1	MXE
379	ENSG00000152601.17_2	MBNL1	chr3	+	NA,0.0,NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,0.0,0.045,NA,NA,NA	1	MXE
381	ENSG00000198467.13_2	TPM2	chr9	-	NA,NA,0.0,NA,NA,0.0,NA,NA,NA,NA,0.953,NA,NA	NA,1.0,NA,NA,NA,NA,0.0,0.0,NA,0.0	1	MXE
383	ENSG00000105669.13_2	COPE	chr19	-	0.0,0.118,NA,NA,NA,0.0,NA,NA,NA,NA,1.0,NA,NA	NA,0.0,NA,NA,NA,0.188,0.759,NA,NA,NA	1	MXE
388	ENSG00000182389.19_2	CACNB4	chr2	-	0.0,0.235,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA	NA,0.0,NA,NA,NA,NA,0.0,NA,NA,NA	1	MXE
394	ENSG00000111481.9_2	COPZ1	chr12	+	NA,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,1.0,0.522,NA,NA	1	MXE
405	ENSG00000152359.14_2	POC5	chr5	-	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,1.0,0.973,NA,NA,NA,NA	1	MXE
407	ENSG00000110888.17_2	CAPRIN2	chr12	-	NA,0.066,0.0,1.0,NA,0.0,NA,NA,0.0,1.0,0.0,0.538,NA	0.0,0.0,NA,NA,NA,0.0,0.0,0.778,NA,NA	1	MXE
422	ENSG00000087085.13_2	ACHE	chr7	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0	1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
436	ENSG00000206562.11_2	METTL6	chr3	-	NA,0.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	1	MXE
439	ENSG00000127314.17_2	RAP1B	chr12	+	1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1	MXE
440	ENSG00000127314.17_2	RAP1B	chr12	+	1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.876,0.008,NA	NA,NA,NA,NA,NA,0.0,NA,0.0,NA,0.0	1	MXE
444	ENSG00000148660.20_1	CAMK2G	chr10	-	1.0,0.609,0.0,0.05,NA,0.622,NA,NA,0.0,NA,0.868,NA,NA	NA,0.194,NA,NA,NA,1.0,0.012,NA,0.0,NA	1	MXE
459	ENSG00000110958.15_1	PTGES3	chr12	-	1.0,1.0,NA,0.0,NA,NA,NA,NA,1.0,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.0,0.0,0.992,NA,NA	1	MXE
460	ENSG00000110958.15_1	PTGES3	chr12	-	NA,0.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	0.417,1.0,NA,NA,NA,1.0,0.632,1.0,NA,NA	1	MXE
461	ENSG00000110958.15_1	PTGES3	chr12	-	0.0,0.408,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,0.0,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1	MXE
465	ENSG00000055332.16_2	EIF2AK2	chr2	-	1.0,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,0.0,NA,NA	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
474	ENSG00000170445.12_2	HARS	chr5	-	NA,0.718,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA	0.0,NA,NA,NA,NA,1.0,0.0,0.0,NA,NA	1	MXE
480	ENSG00000163138.18_2	PACRGL	chr4	+	NA,0.661,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.751,NA,NA,NA,NA	1	MXE
481	ENSG00000163138.18_2	PACRGL	chr4	+	NA,0.477,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA	1	MXE
488	ENSG00000118473.21_1	SGIP1	chr1	+	0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
490	ENSG00000118473.21_1	SGIP1	chr1	+	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA	1	MXE
504	ENSG00000169398.19_2	PTK2	chr8	-	NA,0.389,NA,NA,0.003,NA,NA,0.515,0.945,0.0,NA,0.534,NA	NA,NA,NA,0.0,NA,0.0,0.0,NA,1.0,1.0	1	MXE
505	ENSG00000169398.19_2	PTK2	chr8	-	NA,1.0,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,1.0,NA	NA,NA,NA,0.0,NA,0.543,0.209,NA,NA,0.248	1	MXE
506	ENSG00000089123.15_2	TASP1	chr20	-	NA,NA,NA,1.0,1.0,NA,NA,NA,0.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1	MXE
508	ENSG00000164398.12_2	ACSL6	chr5	-	1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,1.0,NA,NA,NA,1.0,1.0,0.0,1.0,NA	1	MXE
510	ENSG00000160917.14_1	CPSF4	chr7	+	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,0.013,NA,NA	1	MXE
515	ENSG00000172005.10_1	MAL	chr2	+	1.0,0.0,NA,0.0,NA,NA,NA,0.0,NA,0.0,NA,0.0,NA	NA,0.0,NA,NA,0.0,0.0,0.0,NA,NA,0.0	1	MXE
521	ENSG00000205581.10_1	HMGN1	chr21	-	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	0.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA	1	MXE
526	ENSG00000257103.8_2	LSM14A	chr19	+	NA,1.0,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,NA,0.0	1	MXE
528	ENSG00000140391.14_2	TSPAN3	chr15	-	0.0,0.0,NA,NA,NA,0.13,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,1.0,NA	1	MXE
534	ENSG00000163517.14_2	HDAC11	chr3	+	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0	1	MXE
535	ENSG00000072110.13_2	ACTN1	chr14	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
541	ENSG00000112715.20_2	VEGFA	chr6	+	NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,NA	NA,NA,NA,NA,NA,0.0,0.009,0.0,0.0,0.0	1	MXE
544	ENSG00000070081.15_2	NUCB2	chr11	+	NA,NA,NA,NA,1.0,0.0,NA,NA,0.0,NA,NA,0.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
546	ENSG00000068305.17_2	MEF2A	chr15	+	NA,0.956,1.0,1.0,1.0,1.0,NA,1.0,NA,NA,1.0,0.0,1.0	1.0,NA,NA,NA,NA,1.0,1.0,NA,NA,NA	1	MXE
547	ENSG00000255245.4_2	FXYD6-FXYD2	chr11	-	0.0,0.0,NA,NA,0.0,NA,NA,0.0,0.0,NA,0.0,NA,0.0	0.29,0.409,NA,NA,NA,0.024,0.015,0.0,NA,NA	1	MXE
562	ENSG00000139132.14_2	FGD4	chr12	+	NA,0.824,0.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
563	ENSG00000104299.14_2	INTS9	chr8	-	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.0,1.0,NA,NA	1	MXE
581	ENSG00000135535.15_2	CD164	chr6	-	NA,0.0,NA,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,0.201,NA,0.0,0.0,NA,NA	1	MXE
582	ENSG00000163904.12_2	SENP2	chr3	+	NA,1.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.0	1	MXE
589	ENSG00000172995.16_2	ARPP21	chr3	+	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,1.0	NA,NA,NA,NA,NA,1.0,NA,0.987,NA,NA	1	MXE
592	ENSG00000138698.14_2	RAP1GDS1	chr4	+	NA,1.0,NA,1.0,NA,1.0,NA,NA,0.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
593	ENSG00000138698.14_2	RAP1GDS1	chr4	+	NA,1.0,NA,1.0,NA,1.0,NA,NA,NA,NA,1.0,NA,NA	0.0,NA,NA,NA,NA,NA,NA,NA,0.091,NA	1	MXE
594	ENSG00000138698.14_2	RAP1GDS1	chr4	+	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	1.0,NA,NA,NA,NA,0.0,NA,NA,1.0,NA	1	MXE
598	ENSG00000082397.17_2	EPB41L3	chr18	-	NA,0.16,NA,NA,NA,0.979,NA,NA,0.0,NA,NA,0.0,NA	NA,NA,NA,NA,0.0,NA,0.0,1.0,NA,0.917	1	MXE
615	ENSG00000049618.22_2	ARID1B	chr6	+	NA,1.0,NA,1.0,NA,NA,NA,NA,1.0,1.0,0.0,NA,NA	1.0,NA,NA,NA,NA,NA,0.991,NA,1.0,NA	1	MXE
616	ENSG00000049618.22_2	ARID1B	chr6	+	NA,0.757,NA,NA,NA,1.0,NA,1.0,NA,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,0.997,1.0,NA,1.0	1	MXE
618	ENSG00000074603.18_2	DPP8	chr15	-	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.0,NA,NA,NA,NA,1.0,1.0,0.0,NA,NA	1	MXE
631	ENSG00000164414.16_2	SLC35A1	chr6	+	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
