ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
107	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753534	16753802	16753647	16753802	16713346	16713472	107	0,86,0,0,0,0,0,7,37,0,0,218,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,42,72,0,0,0	0,0,0,0,0,50,0,0,0,0	263	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.324,1.0,NA,NA,NA	0.338
108	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753588	16753802	16753647	16753802	16713346	16713472	108	0,459,0,0,0,0,0,8,113,0,0,218,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,226,72,0,0,0	0,0,0,0,0,50,0,0,0,0	209	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.764,1.0,NA,NA,NA	0.118
125	"ENSG00000126214.21_2"	"KLC1"	chr14	+	104145720	104145882	104145720	104145855	104151322	104151373	125	0,31,0,0,0,0,0,728,13,0,0,0,0	0,85,0,0,0,16,0,0,0,0,0,0,0	0,0,0,0,0,0,0,3,0,0	0,161,0,0,0,0,0,0,0,2	177	150	1	1.0	NA,0.236,NA,NA,NA,0.0,NA,1.0,1.0,NA,NA,NA,NA	NA,0.0,NA,NA,NA,NA,NA,1.0,NA,0.0	0.226
146	"ENSG00000108587.15_2"	"GOSR1"	chr17	+	28808160	28808281	28808160	28808275	28811231	28811319	146	0,0,0,0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,73,0,0,0,0,0,0,0,0	156	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA	0.987
154	"ENSG00000174720.15_2"	"LARP7"	chr4	+	113565823	113566027	113565823	113565924	113567506	113567607	154	0,0,0,0,0,0,0,0,0,0,134,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	295,0,0,0,0,0,0,0,0,0	253	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0
156	"ENSG00000124067.16_2"	"SLC12A4"	chr16	-	67996146	67997462	67997367	67997462	67995477	67995609	156	0,0,486,0,0,0,0,0,0,0,0,710,0	0,0,0,0,0,0,0,0,0,0,0,0,0	444,0,0,0,0,0,0,0,0,0	0,0,0,0,0,24,0,0,0,0	1371	150	1	1.0	NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.5
180	"ENSG00000155749.12_1"	"ALS2CR12"	chr2	-	202212822	202213025	202212976	202213025	202211264	202211398	180	0,17,0,0,0,0,0,0,0,0,0,333,0	0,0,0,0,0,0,0,0,0,0,0,202,0	0,0,0,0,0,12,0,0,0,0	0,0,0,0,0,0,0,0,0,0	304	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.449,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	-0.275
186	"ENSG00000118058.20_2"	"KMT2A"	chr11	+	118361910	118362033	118361910	118362024	118362458	118362643	186	0,58,0,0,0,0,0,0,0,0,145,0,0	0,52,0,0,0,0,0,67,0,0,232,122,0	0,0,0,0,0,0,0,0,0,1	0,17,0,0,0,0,43,0,0,0	159	150	1	1.0	NA,0.513,NA,NA,NA,NA,NA,0.0,NA,NA,0.371,0.0,NA	NA,0.0,NA,NA,NA,NA,0.0,NA,NA,1.0	-0.112
189	"ENSG00000143669.13_2"	"LYST"	chr1	-	235929378	235929577	235929538	235929577	235926019	235926151	189	0,58,0,0,0,55,0,142,28,2,479,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,67,0,0,241,0	0,0,0,0,0,0,0,88,0,0	310	150	1	1.0	NA,1.0,NA,NA,NA,1.0,NA,1.0,1.0,1.0,1.0,NA,NA	NA,NA,NA,NA,NA,1.0,NA,0.0,1.0,NA	0.333
197	"ENSG00000041357.15_1"	"PSMA4"	chr15	+	78834518	78834987	78834518	78834561	78836531	78836609	197	0,72,0,0,0,1,0,12,13,0,2,0,0	0,14,0,0,0,0,0,0,0,0,0,0,0	326,0,0,0,0,36,51,0,1,0	0,0,0,0,0,0,0,0,0,0	576	150	1	1.0	NA,0.573,NA,NA,NA,1.0,NA,1.0,1.0,NA,1.0,NA,NA	1.0,NA,NA,NA,NA,1.0,1.0,NA,1.0,NA	-0.085
206	"ENSG00000107317.11_2"	"PTGDS"	chr9	+	139873674	139873853	139873674	139873751	139874397	139874514	206	0,25,2,0,7,59,0,57,0,0,431,1,880	131,371,368,751,197,310,101,0,161,24,1312,3261,69	0,9,0,3,0,60,177,0,201,0	6,273,0,0,30,678,1573,130,596,232	252	150	1	1.0	0.0,0.039,0.003,0.0,0.021,0.102,0.0,1.0,0.0,0.0,0.164,0.0,0.884	0.0,0.019,NA,1.0,0.0,0.05,0.063,0.0,0.167,0.0	0.026
210	"ENSG00000081189.14_2"	"MEF2C"	chr5	-	88047673	88047860	88047682	88047860	88044886	88044934	210	0,187,0,1,2,36,0,115,2,0,197,19,0	0,43,0,0,0,0,0,0,0,0,0,0,0	23,0,0,0,0,229,1,205,208,153	0,0,0,0,0,0,337,0,0,0	159	150	1	1.0	NA,0.804,NA,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,NA	1.0,NA,NA,NA,NA,1.0,0.003,1.0,1.0,1.0	0.142
218	"ENSG00000273559.4_1"	"CWC25"	chr17	-	36966528	36966848	36966720	36966848	36965954	36966018	218	0,0,0,0,0,17,0,0,0,0,0,114,0	0,1,0,0,3,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0	342	150	1	1.0	NA,0.0,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	-0.5
228	"ENSG00000184949.15_1"	"FAM227A"	chr22	-	39035619	39035729	39035659	39035729	39034750	39034827	228	0,192,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,19,0	190	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	0.5
235	"ENSG00000132429.9_1"	"POPDC3"	chr6	-	105609299	105610035	105609670	105610035	105607585	105607694	235	0,0,0,0,0,0,0,8,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,332,0,0,0,0,2,0,0,0	0,0,0,0,0,0,84,0,0,0	521	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,0.007,NA,NA,NA	0.497
258	"ENSG00000141562.17_2"	"NARF"	chr17	+	80417867	80418199	80417867	80417948	80422162	80422306	258	0,0,0,0,0,0,0,0,0,0,0,425,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,7,0,0,0,0	81,0,0,0,0,2,4,0,0,0	401	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	0.0,NA,NA,NA,NA,0.567,0.0,NA,NA,NA	0.811
274	"ENSG00000162735.18_2"	"PEX19"	chr1	-	160252615	160252899	160252733	160252899	160252206	160252292	274	0,0,0,0,0,0,0,0,0,0,0,0,0	0,19,0,77,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,22,0	0,0,0,0,0,132,1,0,0,0	268	150	1	1.0	NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,0.0,NA,1.0,NA	-0.333
280	"ENSG00000198265.11_2"	"HELZ"	chr17	-	65124610	65124971	65124766	65124971	65120078	65120130	280	0,2,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,46,0,0,0	306	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	1.0
281	"ENSG00000173681.16_2"	"CXorf23"	chrX	-	19955535	19955650	19955622	19955650	19953926	19954016	281	0,0,0,102,0,3,0,0,0,0,158,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0	237	150	1	1.0	NA,0.0,NA,1.0,NA,1.0,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-0.25
289	"ENSG00000102984.14_2"	"ZNF821"	chr16	-	71901795	71901940	71901814	71901940	71898805	71898951	289	0,0,0,0,0,0,0,0,0,0,0,0,0	0,38,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,147,0,0	0,0,0,0,0,0,0,0,0,0	169	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	-1.0
293	"ENSG00000108387.14_1"	"SEPT4"	chr17	-	56604042	56604339	56604292	56604339	56603580	56603674	293	8,126,0,0,0,143,0,0,26,7,24,333,0	0,0,0,0,0,0,0,0,0,0,170,0,0	0,6,0,0,10,88,382,0,0,135	0,0,0,0,0,99,0,0,0,0	400	150	1	1.0	1.0,1.0,NA,NA,NA,1.0,NA,NA,1.0,1.0,0.05,1.0,NA	NA,1.0,NA,NA,1.0,0.25,1.0,NA,NA,1.0	0.014
294	"ENSG00000108387.14_1"	"SEPT4"	chr17	-	56604127	56604339	56604292	56604339	56603580	56603674	294	8,73,0,0,0,0,0,0,0,7,0,0,0	0,0,0,0,0,0,0,0,0,0,170,0,0	0,6,0,0,0,0,174,0,0,10	0,0,0,0,0,99,0,0,0,0	315	150	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA,NA	NA,1.0,NA,NA,NA,0.0,1.0,NA,NA,1.0	0.0
300	"ENSG00000101901.11_2"	"ALG13"	chrX	+	110924406	110924652	110924406	110924527	110925359	110925522	300	27,0,0,0,0,0,0,0,0,0,0,0,0	0,119,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,0,0,0,0,0	275	150	1	1.0	1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	-0.5
303	"ENSG00000101901.11_2"	"ALG13"	chrX	+	110925359	110925528	110925359	110925522	110928192	110928331	303	27,0,0,0,0,0,0,0,0,0,0,0,0	0,9,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,12,0,0,0,0	156	150	1	1.0	1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA	0.333
319	"ENSG00000099956.18_2"	"SMARCB1"	chr22	+	24143130	24143322	24143130	24143268	24145481	24145609	319	0,0,0,0,0,0,0,0,0,0,305,0,0	4,49,0,0,0,0,0,0,35,0,0,0,88	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,4,0,0,0,0	204	150	1	1.0	0.0,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,0.0	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.2
323	"ENSG00000058335.15_1"	"RASGRF1"	chr15	-	79298518	79298776	79298527	79298776	79296143	79296517	323	10,74,0,192,0,0,0,0,0,0,0,0,0	0,63,0,0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,0,264,0,0,0	0,0,0,1,0,49,0,0,0,1	159	150	1	1.0	1.0,0.526,NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,0.0,NA,0.0,1.0,NA,NA,0.0	0.381
347	"ENSG00000163516.13_1"	"ANKZF1"	chr2	+	220094949	220095127	220094949	220095072	220096649	220096762	347	0,0,0,0,0,198,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0	0,0,0,0,0,18,0,0,0,0	205	150	1	1.0	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA	0.5
385	"ENSG00000153250.18_2"	"RBMS1"	chr2	-	161143479	161143595	161143488	161143595	161141505	161141555	385	0,0,0,0,0,66,0,0,36,0,0,0,0	25,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,67,0,0,0	159	150	1	1.0	0.0,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	0.667
399	"ENSG00000127419.16_2"	"TMEM175"	chr4	+	941903	942403	941903	941942	944208	944306	399	75,109,1,0,0,0,0,0,0,2,0,100,0	0,42,0,0,0,87,0,0,0,0,54,0,0	0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0	611	150	1	1.0	1.0,0.389,1.0,NA,NA,0.0,NA,NA,NA,1.0,0.0,1.0,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	-0.373
403	"ENSG00000118194.18_2"	"TNNT2"	chr1	-	201329580	201330497	201330406	201330497	201328750	201328791	403	0,0,0,0,0,0,0,0,0,0,0,0,0	0,59,0,0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,228,0,0	0,0,0,0,0,0,0,0,0,0	976	150	1	1.0	NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	-1.0
417	"ENSG00000131748.15_2"	"STARD3"	chr17	+	37814027	37814105	37814027	37814092	37814225	37814279	417	0,103,0,0,0,0,0,10,0,0,0,0,0	0,0,0,0,0,6,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0	163	150	1	1.0	NA,1.0,NA,NA,NA,0.0,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-0.333
419	"ENSG00000131748.15_2"	"STARD3"	chr17	+	37818503	37818620	37818503	37818597	37819056	37819737	419	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,25,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	132,0,0,0,0,4,0,0,0,0	173	150	1	1.0	NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.0,NA,NA,NA,NA,0.0,1.0,NA,NA,NA	-0.333
425	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179050595	179050670	179050636	179050670	179050037	179050165	425	30,11,0,0,0,0,0,0,10,0,0,0,0	0,0,0,0,1,24,0,0,0,0,0,0,0	0,0,0,0,0,27,0,0,0,0	0,0,0,0,0,0,70,0,0,0	191	150	1	1.0	1.0,1.0,NA,NA,0.0,0.0,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,0.0,NA,NA,NA	0.1
427	"ENSG00000108671.9_2"	"PSMD11"	chr17	+	30800818	30801099	30800818	30800963	30801781	30801842	427	163,68,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,79,0,0,0	0,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,12,1,0,0	286	150	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA	0.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA	0.5
439	"ENSG00000197958.12_1"	"RPL12"	chr9	-	130213328	130213684	130213559	130213684	130213009	130213083	439	0,64,0,0,0,1,0,0,0,0,0,0,0	0,66,270,0,0,11,52,0,5,0,149,77,0	48,2,0,0,0,0,0,101,0,0	0,90,0,0,0,9,262,2,0,0	381	150	1	1.0	NA,0.276,0.0,NA,NA,0.035,0.0,NA,0.0,NA,0.0,0.0,NA	1.0,0.009,NA,NA,NA,0.0,0.0,0.952,NA,NA	-0.348
447	"ENSG00000182230.11_1"	"FAM153B"	chr5	+	175550999	175551123	175550999	175551108	175551265	175551435	447	6,1,0,0,0,167,0,0,18,0,0,0,0	0,37,0,0,0,0,0,0,0,0,0,0,0	3,0,0,0,3,34,244,0,0,0	0,0,0,0,0,0,0,0,0,0	165	150	1	1.0	1.0,0.024,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA	1.0,NA,NA,NA,1.0,1.0,1.0,NA,NA,NA	-0.244
449	"ENSG00000074416.13_2"	"MGLL"	chr3	-	127541151	127542028	127541926	127542028	127540536	127540681	449	8,86,0,0,0,11,0,0,12,0,59,0,0	0,0,0,0,0,0,0,0,10,0,16,0,0	0,0,0,0,0,111,87,0,147,0	2,0,0,0,0,1,0,0,133,0	925	150	1	1.0	1.0,1.0,NA,NA,NA,1.0,NA,NA,0.163,NA,0.374,NA,NA	0.0,NA,NA,NA,NA,0.947,1.0,NA,0.152,NA	0.183
455	"ENSG00000168653.10_1"	"NDUFS5"	chr1	+	39491989	39492074	39491989	39492070	39494394	39494612	455	0,0,0,0,0,0,0,0,0,0,264,183,0	0,10,61,241,0,0,0,0,24,0,0,0,0	0,9,0,0,0,65,41,0,0,0	134,0,0,0,0,2,1,0,0,0	154	150	1	1.0	NA,0.0,0.0,0.0,NA,NA,NA,NA,0.0,NA,1.0,1.0,NA	0.0,1.0,NA,NA,NA,0.969,0.976,NA,NA,NA	-0.403
461	"ENSG00000099949.18_2"	"LZTR1"	chr22	+	21344674	21345258	21344674	21344814	21345916	21346118	461	8,71,0,0,0,0,0,0,0,0,0,0,0	47,0,0,0,0,0,0,0,3,0,0,176,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,26,10,46,0,0	594	150	1	1.0	0.041,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA	NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA	0.26
466	"ENSG00000258366.7_2"	"RTEL1"	chr20	+	62326680	62327003	62326680	62326833	62327130	62327606	466	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,102,0	320	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA	1.0
495	"ENSG00000164068.15_1"	"RNF123"	chr3	+	49749911	49750325	49749911	49750089	49750945	49751020	495	0,0,0,0,0,0,0,0,0,0,0,0,0	0,114,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,82,0,0,0,0	0,0,0,0,0,16,5,0,0,0	386	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.666,0.0,NA,NA,NA	-0.333
503	"ENSG00000244754.8_2"	"N4BP2L2"	chr13	-	33101544	33101669	33101594	33101669	33096318	33096407	503	0,46,0,78,2,9,0,6,0,0,12,0,0	0,0,0,0,0,0,0,0,22,0,0,0,0	0,0,0,0,0,65,3,0,0,0	0,0,0,0,0,3,0,0,0,0	200	150	1	1.0	NA,1.0,NA,1.0,1.0,1.0,NA,1.0,0.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,0.942,1.0,NA,NA,NA	-0.114
504	"ENSG00000141556.20_2"	"TBCD"	chr17	+	80882814	80882933	80882814	80882932	80884275	80884367	504	45,23,0,0,0,13,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0,0,0,0	0,54,0,0,0,0,91,0,0,0	0,0,0,0,0,0,0,0,0,0	151	150	1	1.0	1.0,0.92,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA	-0.027
506	"ENSG00000174373.16_2"	"RALGAPA1"	chr14	-	36157664	36159209	36159041	36159209	36155747	36155872	506	112,411,1,1,14,548,8,0,32,2,694,2,0	0,0,0,0,0,146,0,0,9,0,2,0,0	294,500,0,748,0,139,170,1,322,27	0,297,0,0,0,0,0,1,0,0	1527	150	1	1.0	1.0,1.0,1.0,1.0,1.0,0.269,1.0,NA,0.259,1.0,0.971,1.0,NA	1.0,0.142,NA,1.0,NA,1.0,1.0,0.089,1.0,1.0	0.085
510	"ENSG00000090621.13_2"	"PABPC4"	chr1	-	40030094	40030214	40030142	40030214	40029285	40029413	510	0,0,0,0,0,201,0,0,6,0,0,0,0	36,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	198	150	1	1.0	0.0,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	-0.333
511	"ENSG00000090621.13_2"	"PABPC4"	chr1	-	40030094	40030214	40030142	40030214	40029507	40029594	511	0,3,0,0,0,201,0,0,3,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2	198	150	1	1.0	NA,1.0,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,0.0	0.5
513	"ENSG00000090621.13_2"	"PABPC4"	chr1	-	40036768	40037021	40036905	40037021	40035534	40035674	513	0,0,0,0,0,0,0,0,0,0,458,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,28,0,0,0,0,1,0,0,0	287	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,0.0,NA,NA,NA,NA,0.0,NA,NA,NA	1.0
