ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
205	"ENSG00000002746.14_2"	"HECW1"	chr7	+	43503258	43503398	43495895	43496046	43506045	43506167	205	0,0,0,0,0,0,0,0,0,0,226,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,5,0	0,0,0,0,0,0,0,40,0,0	290	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA	0.5
209	"ENSG00000229117.8_1"	"RPL41"	chr12	+	56510972	56510995	56510369	56510583	56511265	56511494	209	52,426,10,15,2,103,0,396,41,0,2,2,0	0,0,0,0,0,0,0,0,0,58,0,0,0	73,1,0,173,0,200,156,63,288,15	0,0,0,0,0,0,0,0,0,0	173	150	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,0.0,1.0,1.0,NA	1.0,1.0,NA,1.0,NA,1.0,1.0,1.0,1.0,1.0	-0.091
241	"ENSG00000157193.15_2"	"LRP8"	chr1	-	53723680	53723746	53722914	53723136	53723990	53724143	241	40,0,0,0,0,0,0,0,0,0,0,0,0	0,74,0,2,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,59,0,0,0,0	216	150	1	1.0	1.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.333
258	"ENSG00000188342.11_2"	"GTF2F2"	chr13	+	45723904	45723923	45710867	45710941	45725821	45725966	258	0,0,0,0,0,38,0,0,0,0,0,0,0	0,0,0,0,222,0,0,0,0,0,0,0,0	0,0,0,0,0,51,0,0,0,4	0,0,0,0,0,0,0,0,0,0	169	150	1	1.0	NA,NA,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0	-0.5
298	"ENSG00000065029.14_2"	"ZNF76"	chr6	+	35261527	35261692	35260657	35260821	35262232	35262329	298	0,0,0,121,0,0,0,117,0,0,0,0,0	0,12,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,230,0,0,0	315	150	1	1.0	NA,0.0,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,0.0,NA,NA,NA	0.167
316	"ENSG00000089248.6_2"	"ERP29"	chr12	+	112457559	112457698	112451119	112451413	112459953	112460972	316	0,54,0,996,0,0,0,0,0,0,0,0,0	0,59,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,0,11,0,0,0	0,0,0,0,0,0,0,0,0,0	289	150	1	1.0	NA,0.322,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA	-0.339
318	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52726708	52726829	52709268	52709433	52729602	52729673	318	0,0,0,0,0,0,0,0,0,0,469,0,0	0,17,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,33,0,0,0,0,0	271	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	0.5
320	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52753288	52753410	52752733	52752804	52757925	52758017	320	0,0,0,0,0,0,0,0,0,0,1,0,0	2,92,0,0,0,156,0,0,17,0,0,0,0	0,0,0,0,0,0,0,0,0,0	20,0,0,0,0,0,99,0,0,0	272	150	1	1.0	0.0,0.0,NA,NA,NA,0.0,NA,NA,0.0,NA,1.0,NA,NA	0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA	0.2
324	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52775085	52775141	52765435	52765544	52777235	52777340	324	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,450,57,0,1,0,0,32,0,0,0,0	0,0,0,0,0,85,0,0,0,0	0,0,0,0,0,1,0,0,0,0	206	150	1	1.0	NA,NA,0.0,0.0,NA,0.0,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.984,NA,NA,NA,NA	-0.984
325	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52777235	52777340	52765435	52765544	52779455	52779558	325	0,78,853,134,0,2,0,0,32,0,6,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,99,200,0	0,0,0,0,0,0,0,0,103,0	255	150	1	1.0	NA,1.0,1.0,1.0,NA,1.0,NA,NA,1.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,1.0,NA,1.0,0.533,NA	0.156
333	"ENSG00000104805.15_2"	"NUCB1"	chr19	+	49416730	49416821	49416267	49416453	49421982	49422041	333	0,26,0,0,0,0,0,0,3,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,28,0,0,0,0	0,0,0,0,0,0,0,0,114,0	241	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,0.0,NA	0.5
335	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110371826	110371890	110367596	110370995	110376184	110376373	335	5,37,0,0,1,0,0,11,4,0,0,0,0	0,0,0,0,0,107,0,0,0,0,0,0,0	0,0,0,0,0,28,0,0,0,60	0,0,0,0,0,0,0,0,0,0	214	150	1	1.0	1.0,1.0,NA,NA,1.0,0.0,NA,1.0,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0	-0.167
337	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110388971	110389121	110385060	110385309	110390896	110391039	337	48,64,0,0,0,0,1,0,1,1,112,0,0	0,86,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,31,0	0,0,0,0,0,0,0,0,0,0	300	150	1	1.0	1.0,0.271,NA,NA,NA,NA,1.0,NA,1.0,1.0,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-0.122
356	"ENSG00000144935.14_1"	"TRPC1"	chr3	+	142462326	142462428	142455220	142455375	142467099	142467302	356	0,37,0,0,0,0,0,0,0,0,0,0,0	0,133,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,10,0,0	252	150	1	1.0	NA,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	0.142
363	"ENSG00000004777.18_2"	"ARHGAP33"	chr19	+	36276090	36276236	36275733	36276008	36276310	36276385	363	0,0,0,0,0,0,0,0,6,0,287,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,153,0,0,0	0,0,0,0,0,0,0,0,5,0	296	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,0.0,NA	0.5
391	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70278148	70278437	70312678	70312756	391	0,0,0,0,0,0,0,0,0,0,0,0,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,70,0,0,0,0	0,1,0,0,0,0,0,0,0,0	347	150	1	1.0	0.0,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,0.0,NA,NA,NA,1.0,NA,NA,NA,NA	-0.5
396	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70278334	70278437	70312678	70312756	396	0,0,0,0,0,0,0,0,0,0,319,0,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	188	150	1	1.0	0.0,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA	0.25
406	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70310638	70310819	70278159	70278437	70312678	70312756	406	0,0,0,0,0,0,0,0,0,0,185,2,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,0,0,0,0,18	0,1,0,0,0,0,0,0,0,0	331	150	1	1.0	0.0,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,1.0,NA	NA,0.0,NA,NA,NA,NA,NA,NA,NA,1.0	-0.1
408	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70310638	70310819	70286774	70286812	70312678	70312756	408	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	331	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	-0.396
409	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70310669	70310819	70278334	70278437	70312678	70312705	409	0,0,0,0,0,0,0,0,0,0,185,2,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,3,0,0,0,18	0,1,0,0,0,0,0,0,0,0	300	150	1	1.0	0.0,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,1.0,NA	NA,0.0,NA,NA,NA,1.0,NA,NA,NA,1.0	-0.267
410	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70310669	70310819	70286774	70286812	70312678	70312705	410	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	300	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	-0.387
412	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70312947	70313035	70312678	70312756	70313255	70313414	412	0,0,0,0,0,0,0,0,0,0,184,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0	238	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA	1.0
414	"ENSG00000248049.6_2"	"UBA6-AS1"	chr4	+	68586139	68586769	68567078	68567202	68594257	68594404	414	19,37,0,0,0,0,0,0,0,0,19,0,0	0,43,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,94,0,0,0	85,0,0,0,0,0,0,0,0,0	780	150	1	1.0	1.0,0.142,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA	0.214
433	"ENSG00000115239.21_2"	"ASB3"	chr2	-	53992513	53992722	53977919	53978078	54013957	54013986	433	0,81,0,2,8,0,0,0,0,0,0,1,0	0,3,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	359	150	1	1.0	NA,0.919,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,1.0,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	-0.02
446	"ENSG00000221914.8_2"	"PPP2R2A"	chr8	+	26197418	26197489	26196405	26196503	26211983	26212149	446	0,22,0,0,40,0,0,0,0,0,0,0,0	0,0,0,0,0,24,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,38,0,0,0,0,0	221	150	1	1.0	NA,1.0,NA,NA,1.0,0.0,0.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	0.5
466	"ENSG00000163257.10_1"	"DCAF16"	chr4	-	17806729	17806848	17802277	17806394	17812069	17812381	466	0,0,0,0,0,0,0,283,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,9,0,0,13,0	0,0,0,0,0,0,0,0,0,20	269	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,1.0,0.0	0.333
471	"ENSG00000144560.13_2"	"VGLL4"	chr3	-	11712735	11712868	11643306	11643496	11744444	11744521	471	0,1,0,0,0,0,0,0,0,0,0,7,0	0,0,0,0,0,0,0,0,14,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,108,0,0	283	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	0.667
476	"ENSG00000135720.12_2"	"DYNC1LI2"	chr16	-	66762103	66762145	66761590	66761708	66762942	66763002	476	2,190,0,0,0,0,0,0,24,0,0,135,0	0,0,0,0,0,0,0,0,0,4,0,0,0	0,51,0,0,28,5,15,0,160,115	0,0,0,0,0,0,0,0,0,0	192	150	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,NA,1.0,0.0,NA,1.0,NA	NA,1.0,NA,NA,1.0,1.0,1.0,NA,1.0,1.0	-0.2
483	"ENSG00000104723.20_2"	"TUSC3"	chr8	+	15615299	15615364	15605883	15605974	15621711	15621968	483	2,34,0,0,0,0,0,15,0,0,0,0,0	4,18,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,68,392,0,121,0	234,0,0,0,0,0,0,0,0,0	215	150	1	1.0	0.259,0.569,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	0.0,NA,NA,NA,NA,1.0,1.0,NA,1.0,NA	-0.141
500	"ENSG00000169100.13_1"	"SLC25A6"	chrX	-	1509084	1509186	1508133	1508620	1510791	1510981	500	0,0,0,0,0,0,0,0,0,0,0,0,0	37,514,33,268,0,209,0,615,27,0,1299,251,338	216,0,0,0,0,0,0,0,0,0	0,837,0,2,0,80,572,119,44,296	252	150	1	1.0	0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,0.0,0.0	1.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0	-0.125
514	"ENSG00000130294.14_1"	"KIF1A"	chr2	-	241667805	241667829	241666242	241666357	241676479	241676585	514	0,0,0,1,0,0,0,0,0,0,0,0,0	30,35,5,4,0,53,3,173,72,515,54,594,1	0,0,0,0,0,50,361,0,1,0	134,4,0,0,65,50,356,0,325,0	174	150	1	1.0	0.0,0.0,0.0,0.177,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,NA,NA,0.0,0.463,0.466,NA,0.003,NA	-0.141
515	"ENSG00000130294.14_1"	"KIF1A"	chr2	-	241674135	241674162	241666242	241666357	241676479	241676585	515	3,19,0,233,0,0,0,0,2,0,0,1,0	30,35,5,4,0,53,3,173,72,515,54,594,1	0,466,0,0,0,0,139,150,0,0	134,4,0,0,65,50,356,0,325,0	177	150	1	1.0	0.078,0.315,0.0,0.98,NA,0.0,0.0,0.0,0.023,0.0,0.0,0.001,0.0	0.0,0.99,NA,NA,0.0,0.0,0.249,1.0,0.0,NA	-0.203
516	"ENSG00000130294.14_1"	"KIF1A"	chr2	-	241696735	241697011	241689845	241689964	241697776	241697914	516	3,7,0,0,0,0,0,0,0,0,0,0,0	6,95,0,0,0,66,0,0,0,0,3,0,0	0,0,0,0,0,0,282,0,41,0	0,87,0,0,0,0,11,2,55,4	426	150	1	1.0	0.15,0.025,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,NA,NA	NA,0.0,NA,NA,NA,NA,0.9,0.0,0.208,0.0	-0.178
517	"ENSG00000130294.14_1"	"KIF1A"	chr2	-	241711986	241712013	241710387	241710521	241712530	241712673	517	21,152,318,0,0,18,0,0,0,0,49,21,0	2,185,0,16,0,0,0,0,0,0,0,236,0	0,0,0,0,42,57,95,4,0,0	0,379,0,0,0,0,55,0,0,373	177	150	1	1.0	0.899,0.41,1.0,0.0,NA,1.0,NA,NA,NA,NA,1.0,0.07,NA	NA,0.0,NA,NA,1.0,1.0,0.594,1.0,NA,0.0	0.027
518	"ENSG00000130294.14_1"	"KIF1A"	chr2	-	241711986	241712013	241710545	241710596	241712530	241712673	518	11,283,174,0,0,18,0,1,0,0,303,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	216,0,0,0,22,100,95,0,0,0	0,0,0,0,7,0,0,0,0,0	177	150	1	1.0	1.0,1.0,1.0,NA,NA,1.0,NA,1.0,NA,NA,1.0,NA,NA	1.0,NA,NA,NA,0.727,1.0,1.0,NA,NA,NA	0.068
520	"ENSG00000055609.17_2"	"KMT2C"	chr7	-	151854845	151855010	151853289	151853431	151855947	151856157	520	0,66,0,0,0,442,0,0,44,0,0,150,0	0,64,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,25,91,0,0,232,0	0,0,0,0,0,0,0,0,0,0	315	150	1	1.0	NA,0.329,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,1.0,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA	-0.168
522	"ENSG00000055609.17_2"	"KMT2C"	chr7	-	151892991	151893096	151891524	151891653	151896363	151896544	522	1,156,0,297,0,0,0,0,16,0,711,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0	192,34,0,1,0,83,9,0,0,290	0,0,0,0,0,0,0,1,0,0	255	150	1	1.0	1.0,1.0,NA,1.0,NA,NA,NA,NA,1.0,NA,1.0,NA,1.0	1.0,1.0,NA,1.0,NA,1.0,1.0,0.0,NA,1.0	0.143
524	"ENSG00000055609.17_2"	"KMT2C"	chr7	-	151946960	151947038	151944986	151945705	151947937	151948051	524	0,134,0,86,1,81,0,0,0,0,728,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,143,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,7,0,0	228	150	1	1.0	NA,1.0,NA,1.0,1.0,1.0,NA,NA,NA,NA,1.0,NA,NA	NA,1.0,NA,NA,NA,NA,NA,0.0,NA,NA	0.5
