ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2330	"ENSG00000160781.15_1"	"PAQR6"	chr1	-	156214932	156215029	156215325	156215452	156214480	156214702	156215572	156216041
2370	"ENSG00000085382.11_2"	"HACE1"	chr6	-	105259185	105259268	105280916	105281048	105244803	105244900	105291097	105291173
2382	"ENSG00000108509.20_1"	"CAMTA2"	chr17	-	4884972	4885037	4885383	4885455	4884519	4884654	4886051	4886187
2383	"ENSG00000108509.20_1"	"CAMTA2"	chr17	-	4884972	4885037	4885383	4885470	4884519	4884654	4886051	4886187
2384	"ENSG00000108509.20_1"	"CAMTA2"	chr17	-	4884972	4885037	4885383	4885522	4884519	4884654	4886051	4886187
2385	"ENSG00000108509.20_1"	"CAMTA2"	chr17	-	4884972	4885126	4885383	4885455	4884519	4884654	4886051	4886187
2386	"ENSG00000108509.20_1"	"CAMTA2"	chr17	-	4884972	4885126	4885383	4885470	4884519	4884654	4886051	4886187
2387	"ENSG00000108509.20_1"	"CAMTA2"	chr17	-	4884972	4885126	4885383	4885522	4884519	4884654	4886051	4886187
2457	"ENSG00000133943.20_2"	"C14orf159"	chr14	+	91611564	91611657	91614124	91614202	91580731	91580872	91623982	91624034
2579	"ENSG00000173660.11_1"	"UQCRH"	chr1	+	46774772	46774799	46775826	46775988	46769302	46769492	46782223	46782448
