cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_16158_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CPSF3L
chr1:clu_16159_NA	Success	1.51349430798166	1	0.0818898731483603	0.320927853347441	CPSF3L
chr1:clu_16160_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CPSF3L
chr1:clu_16161_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CPSF3L
chr1:clu_16162_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CPSF3L
chr1:clu_16163_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CPSF3L
chr1:clu_16164_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CPSF3L
chr1:clu_16165_NA	Not enough valid samples	NA	NA	NA	NA	GLTPD1
chr1:clu_16166_NA	Success	0.78466778370472	2	0.456271257356392	0.753833917288971	DVL1
chr1:clu_16167_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DVL1
chr1:clu_16168_NA	Success	6.71548258808315	1	0.000247504741376296	0.0108814663337461	DVL1
chr1:clu_16169_NA	Success	0.718018858325308	1	0.230781601737223	0.54425187803338	DVL1
chr1:clu_16170_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DVL1
chr1:clu_16171_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16172_NA	Not enough valid samples	NA	NA	NA	NA	AURKAIP1
chr1:clu_16173_NA	Success	0.145892546987852	1	0.589078864547534	0.853896787696695	CCNL2
chr1:clu_16174_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNL2
chr1:clu_16175_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNL2
chr1:clu_16176_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MRPL20
chr1:clu_16177_NA	Success	8.82334485179931	1	2.65977800231804e-05	0.00268432979926252	VWA1
chr1:clu_16178_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATAD3B
chr1:clu_16179_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATAD3B
chr1:clu_16180_NA	Success	0.583743733877554	1	0.279918100273306	0.596936759583056	ATAD3B
chr1:clu_16181_NA	Success	-0.000108712936579991	1	1	1	ATAD3B
chr1:clu_16182_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATAD3B
chr1:clu_16183_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATAD3A
chr1:clu_16184_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SSU72
chr1:clu_16185_NA	Not enough valid samples	NA	NA	NA	NA	MIB2
chr1:clu_16186_NA	Success	0.599359255953658	1	0.273577956971692	0.589874432316832	MIB2
chr1:clu_16187_NA	Success	1.18881650948229	1	0.123083914776829	0.394499198474373	MIB2
chr1:clu_16188_NA	Success	0.994956086755323	1	0.158350062687417	0.447677475608759	MIB2
chr1:clu_16189_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MIB2
chr1:clu_16190_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MIB2
chr1:clu_16191_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MIB2
chr1:clu_16192_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16193_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDK11B
chr1:clu_16194_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDK11B
chr1:clu_16195_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SLC35E2B
chr1:clu_16196_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP1-283E3.8,SLC35E2
chr1:clu_16197_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SLC35E2B
chr1:clu_16198_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDK11A
chr1:clu_16199_NA	Not enough valid samples	NA	NA	NA	NA	CDK11A
chr1:clu_16200_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16201_NA	Not enough valid samples	NA	NA	NA	NA	CDK11A
chr1:clu_16202_NA	Success	0.0159426836302288	1	0.858279480890204	1	CDK11A
chr1:clu_16203_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP1-283E3.8,SLC35E2
chr1:clu_16204_NA	Not enough valid samples	NA	NA	NA	NA	SLC35E2
chr1:clu_16205_NA	Success	11.8376404371095	3	2.91989607286859e-05	0.00291718328420134	NADK
chr1:clu_16206_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NADK
chr1:clu_16207_NA	Success	0.165771951429861	1	0.564751393258789	0.839393473920211	GNB1
chr1:clu_16208_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GNB1
chr1:clu_16209_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GNB1
chr1:clu_16210_NA	Success	2.44152076493083	3	0.180564502649074	0.479232557266861	GNB1
chr1:clu_16211_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C1orf222
chr1:clu_16212_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C1orf222
chr1:clu_16213_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C1orf222
chr1:clu_16214_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C1orf222
chr1:clu_16215_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C1orf222
chr1:clu_16216_NA	Success	0.123121907125096	1	0.619732430592022	0.874806640951661	GABRD
chr1:clu_16217_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_16218_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16219_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_16220_NA	Success	5.285705744398	3	0.014284214852644	0.121146128207634	PRKCZ
chr1:clu_16221_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_16222_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_16223_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16224_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_16225_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_16226_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C1orf86
chr1:clu_16227_NA	Not enough valid samples	NA	NA	NA	NA	C1orf86
chr1:clu_16228_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C1orf86
chr1:clu_16229_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SKI
chr1:clu_16230_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16231_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SKI
chr1:clu_16232_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SKI
chr1:clu_16233_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_16234_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MORN1
chr1:clu_16235_NA	Not enough valid samples	NA	NA	NA	NA	MORN1
chr1:clu_16236_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RER1
chr1:clu_16237_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLCH2
chr1:clu_16238_NA	Success	0.179917311351574	1	0.548598096155486	0.827205506244922	PLCH2
chr1:clu_16239_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLCH2
chr1:clu_16240_NA	Success	0.0120121704710527	1	0.876822993359564	1	PLCH2
chr1:clu_16241_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLCH2
chr1:clu_16242_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PANK4
chr1:clu_16243_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PANK4
chr1:clu_16244_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PANK4
chr1:clu_16245_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TNFRSF14
chr1:clu_16246_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FAM213B
chr1:clu_16247_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FAM213B
chr1:clu_16248_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16249_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LINC00982
chr1:clu_16250_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TPRG1L
chr1:clu_16251_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TP73-AS1
chr1:clu_16252_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TP73-AS1
chr1:clu_16253_NA	Success	0.0841122095890228	1	0.681694667513218	0.910581581450179	CEP104
chr1:clu_16254_NA	Success	0.275324540811621	1	0.458052600979544	0.755508466596796	CEP104
chr1:clu_16255_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP104
chr1:clu_16256_NA	Success	0.74926792351107	1	0.2208967832659	0.532751065523641	CEP104
chr1:clu_16257_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP104
chr1:clu_16258_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DFFB
chr1:clu_16259_NA	Success	0.0304388093548482	3	0.996077278685013	1	DFFB
chr1:clu_16260_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16261_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AJAP1
chr1:clu_16262_NA	Success	0.134698793398911	1	0.603736162636625	0.864425440573938	AJAP1
chr1:clu_16263_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AJAP1
chr1:clu_16264_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_16265_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPHP4
chr1:clu_16266_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPHP4
chr1:clu_16267_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPHP4
chr1:clu_16268_NA	Success	0.218865853182763	1	0.508219300782153	0.797605681110855	NPHP4
chr1:clu_16269_NA	Success	2.34450263347524	1	0.0303562161362191	0.185552668261995	NPHP4
chr1:clu_16270_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPHP4
chr1:clu_16271_NA	Success	6.43807697659292	3	0.00491222980256085	0.0669787638667881	NPHP4
chr1:clu_16272_NA	Success	1.73067603996719	1	0.0628189276437249	0.278886172881302	NPHP4
chr1:clu_16273_NA	Success	3.40094727052156	2	0.0333416714140333	0.193653938050617	NPHP4
chr1:clu_16274_NA	Success	0.330277602428964	2	0.718724186155971	0.932441720535895	KCNAB2
chr1:clu_16275_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_16276_NA	Success	0.0208136094597648	1	0.838332012510668	0.995673688219724	KCNAB2
chr1:clu_16277_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KCNAB2
chr1:clu_16278_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16279_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KCNAB2
chr1:clu_16280_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KCNAB2
chr1:clu_16281_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KCNAB2
chr1:clu_16282_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KCNAB2
chr1:clu_16283_NA	Success	3.83177242363672	2	0.0216711710740462	0.154805316420047	CHD5
chr1:clu_16284_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16285_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16286_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16287_NA	Success	4.94651971940107	1	0.00165905113659115	0.0369900765122387	CHD5
chr1:clu_16288_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_16289_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16290_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16291_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16292_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16293_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16294_NA	Success	5.03405519222785	1	0.0015085767209598	0.0347915506271354	CHD5
chr1:clu_16295_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16296_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16297_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16298_NA	Success	0.695975736174461	1	0.238075818974405	0.552298481424318	CHD5
chr1:clu_16299_NA	Success	3.91981957508006	1	0.00511128086799727	0.0682817005992606	CHD5
chr1:clu_16300_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_16301_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPL22
chr1:clu_16302_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPL22
chr1:clu_16303_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPL22,RP1-120G22.11
chr1:clu_16304_NA	Success	0.0393519560367963	1	0.779061572833917	0.967408121138747	RNF207
chr1:clu_16305_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RNF207
chr1:clu_16306_NA	Success	0.00655733797560742	1	0.908826127512201	1	RNF207
chr1:clu_16307_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RNF207
chr1:clu_16308_NA	Success	1.30182260595211	1	0.106618235319886	0.368231556952519	RNF207
chr1:clu_16309_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RNF207
chr1:clu_16310_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RNF207
chr1:clu_16311_NA	Success	1.4338925230004	3	0.412462505570159	0.721107087025828	ICMT
chr1:clu_16312_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ICMT
chr1:clu_16313_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GPR153
chr1:clu_16314_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACOT7
chr1:clu_16315_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACOT7
chr1:clu_16316_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACOT7
chr1:clu_16317_NA	Success	0.0525501540919322	1	0.745792847300985	0.948241837076562	ACOT7
chr1:clu_16318_NA	Success	2.38609637494613	1	0.0289229653234971	0.181162947213848	ACOT7
chr1:clu_16319_NA	Success	2.3509118441176	1	0.0301306299503273	0.184956785537636	TNFRSF25
chr1:clu_16320_NA	Success	1.04821228454156	2	0.350563897755777	0.664013234632694	TNFRSF25
chr1:clu_16321_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHG5
chr1:clu_16322_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHG5
chr1:clu_16323_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHG5
chr1:clu_16324_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHG5
chr1:clu_16325_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHG5
chr1:clu_16326_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHG5
chr1:clu_16327_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHG5
chr1:clu_16328_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOL9
chr1:clu_16329_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KLHL21
chr1:clu_16330_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZBTB48
chr1:clu_16331_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZBTB48
chr1:clu_16332_NA	Success	2.63659152908002	1	0.0216563782587555	0.154805316420047	ZBTB48
chr1:clu_16333_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DNAJC11
chr1:clu_16334_NA	Not enough valid samples	NA	NA	NA	NA	DNAJC11
chr1:clu_16335_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DNAJC11
chr1:clu_16336_NA	Success	5.63790644894209	2	0.00356031430910116	0.0563508569065695	CAMTA1
chr1:clu_16337_NA	Success	1.01348602232849	1	0.154528212398997	0.442599952945348	CAMTA1
chr1:clu_16338_NA	Success	7.47663932590331	3	0.00185701399118678	0.0392265137887898	CAMTA1
chr1:clu_16339_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16340_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16341_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16342_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CAMTA1
chr1:clu_16343_NA	Success	0.0227329049881178	1	0.831149806293032	0.993394203791678	CAMTA1
chr1:clu_16344_NA	Success	0.628902013045376	1	0.262067168131722	0.576792007697926	CAMTA1
chr1:clu_16345_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CAMTA1
chr1:clu_16346_NA	Success	4.88668701647248	2	0.0075463821464171	0.0850534595263904	CAMTA1
chr1:clu_16347_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CAMTA1
chr1:clu_16348_NA	Success	0.702945790443664	2	0.495124620039435	0.787292151013418	CAMTA1
chr1:clu_16349_NA	Not enough valid samples	NA	NA	NA	NA	VAMP3
chr1:clu_16350_NA	Success	2.28934985037048	1	0.0323717708885811	0.19074145242134	PER3
chr1:clu_16351_NA	Success	0.677478751872869	1	0.244413305577897	0.559742496560087	PER3
chr1:clu_16352_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PER3
chr1:clu_16353_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PER3
chr1:clu_16354_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PER3
chr1:clu_16355_NA	Success	3.17536732844874	1	0.011733269849704	0.11003608421598	PER3
chr1:clu_16356_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PER3
