cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_5913_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PER3
chr1:clu_5914_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PER3
chr1:clu_5915_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PER3
chr1:clu_5916_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PER3
chr1:clu_5917_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ERRFI1
chr1:clu_5918_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RERE
chr1:clu_5919_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RERE
chr1:clu_5920_NA	Success	2.03110206472525	1	0.0438532240171355	0.157404205327963	RERE
chr1:clu_5921_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENO1
chr1:clu_5922_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	H6PD
chr1:clu_5923_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SLC25A33
chr1:clu_5924_NA	Success	1.02634035633901	1	0.151938458786704	0.355039867981175	CLSTN1
chr1:clu_5925_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CLSTN1
chr1:clu_5926_NA	Success	4.27194152332322	2	0.013954663530455	0.0649515843185813	CLSTN1
chr1:clu_5927_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CLSTN1
chr1:clu_5928_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LZIC
chr1:clu_5929_NA	Not enough valid samples	NA	NA	NA	NA	UBE4B
chr1:clu_5930_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBE4B
chr1:clu_5931_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBE4B
chr1:clu_5932_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIF1B
chr1:clu_5933_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIF1B
chr1:clu_5934_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIF1B
chr1:clu_5935_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIF1B
chr1:clu_5936_NA	Success	0.00723511727480286	1	0.904251613045545	1	KIF1B
chr1:clu_5937_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIF1B
chr1:clu_5938_NA	Success	0.51503391623055	1	0.310142736310302	0.573422317206683	KIF1B
chr1:clu_5939_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIF1B
chr1:clu_5940_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_5941_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MTOR
chr1:clu_5942_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MTOR
chr1:clu_5943_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PTCHD2
chr1:clu_5944_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FBXO44
chr1:clu_5945_NA	Not enough valid samples	NA	NA	NA	NA	FBXO44
chr1:clu_5946_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CLCN6
chr1:clu_5947_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLOD1
chr1:clu_5948_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MFN2
chr1:clu_5949_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MFN2
chr1:clu_5950_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_5951_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_5952_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_5953_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_5954_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	VPS13D
chr1:clu_5955_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRDM2
chr1:clu_5956_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRDM2
chr1:clu_5957_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CASP9
chr1:clu_5958_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CASP9
chr1:clu_5959_NA	Success	-1.72430368612777	2	1	1	PLEKHM2
chr1:clu_5960_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHM2
chr1:clu_5961_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SPEN
chr1:clu_5962_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SPEN
chr1:clu_5963_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FBXO42
chr1:clu_5964_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SZRD1
chr1:clu_5965_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NECAP2
chr1:clu_5966_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CROCCP3
chr1:clu_5967_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CROCCP3
chr1:clu_5968_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_5969_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NBPF1
chr1:clu_5970_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CROCCP2
chr1:clu_5971_NA	<=1 sample with coverage>0	NA	NA	NA	NA	CROCCP2
chr1:clu_5972_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_5973_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_5974_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CROCC
chr1:clu_5975_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATP13A2
chr1:clu_5976_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATP13A2
chr1:clu_5977_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATP13A2
chr1:clu_5978_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATP13A2
chr1:clu_5979_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PADI2
chr1:clu_5980_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RCC2
chr1:clu_5981_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ARHGEF10L
chr1:clu_5982_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ARHGEF10L
chr1:clu_5983_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ARHGEF10L
chr1:clu_5984_NA	Not enough valid samples	NA	NA	NA	NA	IGSF21
chr1:clu_5985_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP13-279N23.2
chr1:clu_5986_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP13-279N23.2
chr1:clu_5987_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_5988_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_5989_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_5990_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_5991_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_5992_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_5993_NA	Success	2.55110995011842	2	0.0779950473268257	0.233170572295602	UBR4
chr1:clu_5994_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_5995_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_5996_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_5997_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_5998_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_5999_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_6000_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EMC1
chr1:clu_6001_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EMC1
chr1:clu_6002_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CAPZB
chr1:clu_6003_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CAPZB
chr1:clu_6004_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CAPZB
chr1:clu_6005_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MINOS1-NBL1,MINOS1
chr1:clu_6006_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MINOS1-NBL1,NBL1
chr1:clu_6007_NA	Success	0.394678142179316	1	0.374294841953937	0.648729735356775	MINOS1-NBL1,NBL1
chr1:clu_6008_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP4-749H3.1
chr1:clu_6009_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CAMK2N1
chr1:clu_6010_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KIF17
chr1:clu_6011_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SH2D5
chr1:clu_6012_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HP1BP3
chr1:clu_6013_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HP1BP3
chr1:clu_6014_NA	Success	4.43060605850894	1	0.00291294080000309	0.0195047790409564	HP1BP3
chr1:clu_6015_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EIF4G3
chr1:clu_6016_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EIF4G3
chr1:clu_6017_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EIF4G3
chr1:clu_6018_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EIF4G3
chr1:clu_6019_NA	Success	3.47788203750315	3	0.0733211670236791	0.223278553835406	EIF4G3
chr1:clu_6020_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EIF4G3
chr1:clu_6021_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ALPL
chr1:clu_6022_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RAP1GAP
chr1:clu_6023_NA	Not enough valid samples	NA	NA	NA	NA	RAP1GAP
chr1:clu_6024_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RAP1GAP
chr1:clu_6025_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RAP1GAP
chr1:clu_6026_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RAP1GAP
chr1:clu_6027_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RAP1GAP
chr1:clu_6028_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	USP48
chr1:clu_6029_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_6030_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	USP48
chr1:clu_6031_NA	Success	0.305928870134551	1	0.434089194331312	0.705010109942344	CDC42
chr1:clu_6032_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C1QC
chr1:clu_6033_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KDM1A
chr1:clu_6034_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KDM1A
chr1:clu_6035_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HNRNPR
chr1:clu_6036_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HNRNPR
chr1:clu_6037_NA	Success	2.17926209825296	2	0.113124974966468	0.297765738704841	HNRNPR
chr1:clu_6038_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_6039_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ASAP3
chr1:clu_6040_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPL11
chr1:clu_6041_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPL11,TCEB3
chr1:clu_6042_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PNRC2
chr1:clu_6043_NA	Not enough valid samples	NA	NA	NA	NA	SRSF10
chr1:clu_6044_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SRSF10
chr1:clu_6045_NA	Success	5.94542248239691	2	0.00261779614191472	0.0180564854367009	NIPAL3
chr1:clu_6046_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NIPAL3
chr1:clu_6047_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SRRM1
chr1:clu_6048_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SRRM1
chr1:clu_6049_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SRRM1
chr1:clu_6050_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SRRM1
chr1:clu_6051_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SRRM1
chr1:clu_6052_NA	Not enough valid samples	NA	NA	NA	NA	SRRM1
chr1:clu_6053_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SRRM1
chr1:clu_6054_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C1orf63
chr1:clu_6055_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TMEM50A
chr1:clu_6056_NA	Success	13.1632748401197	1	2.88298148176432e-07	9.16948276838931e-06	TMEM50A
chr1:clu_6057_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6058_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MTFR1L,RP1-317E23.6
chr1:clu_6059_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MTFR1L
chr1:clu_6060_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	STMN1
chr1:clu_6061_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	STMN1
chr1:clu_6062_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	STMN1
chr1:clu_6063_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EXTL1
chr1:clu_6064_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ARID1A
chr1:clu_6065_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PIGV
chr1:clu_6066_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZDHHC18
chr1:clu_6067_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TRNP1
chr1:clu_6068_NA	<=1 sample with coverage>0	NA	NA	NA	NA	SLC9A1
chr1:clu_6069_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	WDTC1
chr1:clu_6070_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AHDC1
chr1:clu_6071_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FAM76A
chr1:clu_6072_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	STX12
chr1:clu_6073_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	STX12
chr1:clu_6074_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EYA3
chr1:clu_6075_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EYA3
chr1:clu_6076_NA	Success	0.340518139507424	1	0.40923011345302	0.679084753483635	EYA3
chr1:clu_6077_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EYA3
chr1:clu_6078_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DNAJC8
chr1:clu_6079_NA	Success	3.14369074188517	1	0.0121600571690401	0.0587479555213121	DNAJC8
chr1:clu_6080_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SESN2
chr1:clu_6081_NA	<=1 sample with coverage>0	NA	NA	NA	NA	PHACTR4
chr1:clu_6082_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TRNAU1AP
chr1:clu_6083_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GMEB1
chr1:clu_6084_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	YTHDF2
chr1:clu_6085_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EPB41
chr1:clu_6086_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EPB41
chr1:clu_6087_NA	Success	0.648858287522785	1	0.254630739035872	0.507930655393857	SRSF4
chr1:clu_6088_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SRSF4
chr1:clu_6089_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LAPTM5
chr1:clu_6090_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SDC3
chr1:clu_6091_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PUM1
chr1:clu_6092_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PUM1
chr1:clu_6093_NA	Success	0.000122329798102783	1	0.98752031912109	1	PUM1
chr1:clu_6094_NA	Not enough valid samples	NA	NA	NA	NA	PUM1
chr1:clu_6095_NA	Success	2.32888848341952	1	0.0309131905751408	0.122476135669675	PUM1
chr1:clu_6096_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PUM1
chr1:clu_6097_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SNRNP40
chr1:clu_6098_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZCCHC17
chr1:clu_6099_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZCCHC17
chr1:clu_6100_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZCCHC17,SERINC2
chr1:clu_6101_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	HCRTR1
chr1:clu_6102_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	COL16A1
chr1:clu_6103_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	COL16A1
chr1:clu_6104_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	COL16A1
chr1:clu_6105_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	COL16A1
chr1:clu_6106_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	COL16A1
chr1:clu_6107_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	COL16A1
chr1:clu_6108_NA	Success	3.03354473383297	2	0.0481446752369238	0.165702693540612	BAI2
chr1:clu_6109_NA	Success	1.17073829985301	1	0.125970096961096	0.317001672572429	BAI2
